batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.1938582903020534
4,1,0.8,50,K80,0.08697309960414729
4,1,0.8,50,T4,0.12341239486631267
4,1,0.8,50,V100,0.005973004782100767
4,1,0.8,75,M60,0.2124396774377494
4,1,0.8,75,K80,0.12895874287094258
4,1,0.8,75,T4,0.10615578872097427
4,1,0.8,75,V100,0.09367530239453901
4,1,0.8,100,M60,0.08922813828034441
4,1,0.8,100,K80,0.00855560268494795
4,1,0.8,100,T4,0.04692188173882492
4,1,0.8,100,V100,0.1331342767522764
4,1,1.2,50,M60,0.06070270213102228
4,1,1.2,50,K80,0.15497692009050992
4,1,1.2,50,T4,0.11531036082959549
4,1,1.2,50,V100,0.284147125551349
4,1,1.2,75,M60,0.06189292449727075
4,1,1.2,75,K80,0.08848495494304603
4,1,1.2,75,T4,0.08700738545420539
4,1,1.2,75,V100,0.244069448163969
4,1,1.2,100,M60,0.2318610831050718
4,1,1.2,100,K80,0.03651794618460888
4,1,1.2,100,T4,0.2664538037610502
4,1,1.2,100,V100,0.14189016939898477
4,1,1.6,50,M60,0.08139343490672306
4,1,1.6,50,K80,0.13771752951316724
4,1,1.6,50,T4,0.10872069151314168
4,1,1.6,50,V100,0.06646492272695448
4,1,1.6,75,M60,0.2569213220445284
4,1,1.6,75,K80,0.03994965993352741
4,1,1.6,75,T4,0.14211326447248743
4,1,1.6,75,V100,0.24726553271567986
4,1,1.6,100,M60,0.15200760739964034
4,1,1.6,100,K80,0.07947915948442603
4,1,1.6,100,T4,0.12441389525759157
4,1,1.6,100,V100,0.1779021915245686
4,1,2.4,50,M60,0.06064204221729579
4,1,2.4,50,K80,0.18610823446517263
4,1,2.4,50,T4,0.22298942618453366
4,1,2.4,50,V100,0.2751821370536287
4,1,2.4,75,M60,0.22930197575518718
4,1,2.4,75,K80,0.023473218461857914
4,1,2.4,75,T4,0.015116450998539664
4,1,2.4,75,V100,0.05602658761284721
4,1,2.4,100,M60,0.1929910573219768
4,1,2.4,100,K80,0.018905020527085627
4,1,2.4,100,T4,0.19590488065362072
4,1,2.4,100,V100,0.23510706324632782
4,2,0.8,50,M60,0.15529765281041072
4,2,0.8,50,K80,0.18115767977564934
4,2,0.8,50,T4,0.10759226905016607
4,2,0.8,50,V100,0.02813954468374339
4,2,0.8,75,M60,0.1603350078275123
4,2,0.8,75,K80,0.006509713699298992
4,2,0.8,75,T4,0.1276147920840148
4,2,0.8,75,V100,0.08650458729708659
4,2,0.8,100,M60,0.07647703971672322
4,2,0.8,100,K80,0.0016167432486069377
4,2,0.8,100,T4,0.08332708843383807
4,2,0.8,100,V100,0.1380355401619542
4,2,1.2,50,M60,0.23660554110437704
4,2,1.2,50,K80,0.27817872586012293
4,2,1.2,50,T4,0.13984402246553973
4,2,1.2,50,V100,0.1343852421428705
4,2,1.2,75,M60,0.1404067195285739
4,2,1.2,75,K80,0.10035029415207586
4,2,1.2,75,T4,0.07340988587135484
4,2,1.2,75,V100,0.0641888760597551
4,2,1.2,100,M60,0.23972126409471944
4,2,1.2,100,K80,0.10857899039369433
4,2,1.2,100,T4,0.002759211901861026
4,2,1.2,100,V100,0.09664825936384713
4,2,1.6,50,M60,0.00223056269796017
4,2,1.6,50,K80,0.2714355759628713
4,2,1.6,50,T4,0.05178106557502382
4,2,1.6,50,V100,0.12494359238414092
4,2,1.6,75,M60,0.08757435399346897
4,2,1.6,75,K80,0.14581306370666997
4,2,1.6,75,T4,0.04976200384084003
4,2,1.6,75,V100,0.07002906560691838
4,2,1.6,100,M60,0.035890727670879516
4,2,1.6,100,K80,0.2308200389927455
4,2,1.6,100,T4,0.23723279927343277
4,2,1.6,100,V100,0.14459410843791035
4,2,2.4,50,M60,0.1549481447683458
4,2,2.4,50,K80,0.09912974815991149
4,2,2.4,50,T4,0.26065223753262384
4,2,2.4,50,V100,0.0999965400190777
4,2,2.4,75,M60,0.10385523638408528
4,2,2.4,75,K80,0.24321154557390506
4,2,2.4,75,T4,0.19375151137255456
4,2,2.4,75,V100,0.04712644364444342
4,2,2.4,100,M60,0.1981390765736093
4,2,2.4,100,K80,0.1351220465179754
4,2,2.4,100,T4,0.2835008001066121
4,2,2.4,100,V100,0.2530583259000183
4,3,0.8,50,M60,0.009493800519714733
4,3,0.8,50,K80,0.00622917212888575
4,3,0.8,50,T4,0.04380692162044196
4,3,0.8,50,V100,0.10582586827197651
4,3,0.8,75,M60,0.0833176557308076
4,3,0.8,75,K80,0.08713596155055411
4,3,0.8,75,T4,0.1512001530838037
4,3,0.8,75,V100,0.07671012732991174
4,3,0.8,100,M60,0.19986860270008083
4,3,0.8,100,K80,0.04189323646989651
4,3,0.8,100,T4,0.19212559021326356
4,3,0.8,100,V100,0.03813861565010637
4,3,1.2,50,M60,0.032659407339115154
4,3,1.2,50,K80,0.0019606942295751118
4,3,1.2,50,T4,0.1642050837016495
4,3,1.2,50,V100,0.03363167305479173
4,3,1.2,75,M60,0.15030777664198205
4,3,1.2,75,K80,0.1922611356983257
4,3,1.2,75,T4,0.18610205067152621
4,3,1.2,75,V100,0.0070826975118662636
4,3,1.2,100,M60,0.15722167965572217
4,3,1.2,100,K80,0.05323464553286547
4,3,1.2,100,T4,0.23779407914494027
4,3,1.2,100,V100,0.13628494816072326
4,3,1.6,50,M60,0.09647700078746835
4,3,1.6,50,K80,0.0003251678311258532
4,3,1.6,50,T4,0.28883929441263917
4,3,1.6,50,V100,0.16564492349324297
4,3,1.6,75,M60,0.05167450282096115
4,3,1.6,75,K80,0.19091562771298037
4,3,1.6,75,T4,0.19922101380693902
4,3,1.6,75,V100,0.1634160171324399
4,3,1.6,100,M60,0.17310620464087506
4,3,1.6,100,K80,0.21472038872497262
4,3,1.6,100,T4,0.04629346035429091
4,3,1.6,100,V100,0.08876130399901856
4,3,2.4,50,M60,0.001767131635625092
4,3,2.4,50,K80,0.1623305191001502
4,3,2.4,50,T4,0.10772690805871474
4,3,2.4,50,V100,0.04558239759919874
4,3,2.4,75,M60,0.07602294354400052
4,3,2.4,75,K80,0.12109278172768875
4,3,2.4,75,T4,0.02847812707127928
4,3,2.4,75,V100,0.19383482359740262
4,3,2.4,100,M60,0.09378233864972163
4,3,2.4,100,K80,0.2468619552765058
4,3,2.4,100,T4,0.2107836219400669
4,3,2.4,100,V100,0.17952481436204565
4,4,0.8,50,M60,0.011150845925538512
4,4,0.8,50,K80,0.023650949211602757
4,4,0.8,50,T4,0.18299208935635583
4,4,0.8,50,V100,0.06156072810639184
4,4,0.8,75,M60,0.11786827069655058
4,4,0.8,75,K80,0.12583659534814937
4,4,0.8,75,T4,0.0701515585474218
4,4,0.8,75,V100,0.22091106641275932
4,4,0.8,100,M60,0.23652170315818377
4,4,0.8,100,K80,0.2427503477962747
4,4,0.8,100,T4,0.09016758907751152
4,4,0.8,100,V100,0.2680797600126356
4,4,1.2,50,M60,0.21124915886538728
4,4,1.2,50,K80,0.07064950220538163
4,4,1.2,50,T4,0.2518296992549173
4,4,1.2,50,V100,0.2179806842744246
4,4,1.2,75,M60,0.22344476658367904
4,4,1.2,75,K80,0.06144803340690086
4,4,1.2,75,T4,0.1922649921318902
4,4,1.2,75,V100,0.1111708623248373
4,4,1.2,100,M60,0.2622960876792456
4,4,1.2,100,K80,0.12504426555827208
4,4,1.2,100,T4,0.21733290515484077
4,4,1.2,100,V100,0.2460056509130353
4,4,1.6,50,M60,0.1934019106672883
4,4,1.6,50,K80,0.22538197712372893
4,4,1.6,50,T4,0.2010709581467105
4,4,1.6,50,V100,0.22339099592076664
4,4,1.6,75,M60,0.1684042746334684
4,4,1.6,75,K80,0.23585430779216549
4,4,1.6,75,T4,0.08621665753379154
4,4,1.6,75,V100,0.24584887374279676
4,4,1.6,100,M60,0.12485542900850742
4,4,1.6,100,K80,0.1857339627219554
4,4,1.6,100,T4,0.1995254453265313
4,4,1.6,100,V100,0.10634679840999996
4,4,2.4,50,M60,0.017867564355860212
4,4,2.4,50,K80,0.2891712493284765
4,4,2.4,50,T4,0.1674113527393766
4,4,2.4,50,V100,0.24900044003901992
4,4,2.4,75,M60,0.07183179784635803
4,4,2.4,75,K80,0.23754089604041487
4,4,2.4,75,T4,0.1890215528753949
4,4,2.4,75,V100,0.07259129188953757
4,4,2.4,100,M60,0.20251066220431163
4,4,2.4,100,K80,0.05448940873540258
4,4,2.4,100,T4,0.08747808211598122
4,4,2.4,100,V100,0.17396122326285252
4,5,0.8,50,M60,0.019381912201184594
4,5,0.8,50,K80,0.2668493961054671
4,5,0.8,50,T4,0.19656596352961653
4,5,0.8,50,V100,0.24023770080965914
4,5,0.8,75,M60,0.09415883722064992
4,5,0.8,75,K80,0.2760714743161255
4,5,0.8,75,T4,0.015826974845341818
4,5,0.8,75,V100,0.18441568957325644
4,5,0.8,100,M60,0.03985147579244076
4,5,0.8,100,K80,0.25856205971334495
4,5,0.8,100,T4,0.12968185359185191
4,5,0.8,100,V100,0.06010316353906673
4,5,1.2,50,M60,0.15080282204456252
4,5,1.2,50,K80,0.12056172054478329
4,5,1.2,50,T4,0.11419711933912599
4,5,1.2,50,V100,0.03461114936381778
4,5,1.2,75,M60,0.05340442730719367
4,5,1.2,75,K80,0.23127578742968008
4,5,1.2,75,T4,0.15593830354902907
4,5,1.2,75,V100,0.10372372883758368
4,5,1.2,100,M60,0.038854327189732765
4,5,1.2,100,K80,0.0005474229077362302
4,5,1.2,100,T4,0.198375308582059
4,5,1.2,100,V100,0.23865961904509805
4,5,1.6,50,M60,0.2433776841295407
4,5,1.6,50,K80,0.12115141522670246
4,5,1.6,50,T4,0.240950212990453
4,5,1.6,50,V100,0.15141861062147918
4,5,1.6,75,M60,0.0008062886613902986
4,5,1.6,75,K80,0.06124121378307099
4,5,1.6,75,T4,0.06575572962189188
4,5,1.6,75,V100,0.09773163887324188
4,5,1.6,100,M60,0.18520053206368042
4,5,1.6,100,K80,0.20445289161756758
4,5,1.6,100,T4,0.2177215187496099
4,5,1.6,100,V100,0.007194535916065034
4,5,2.4,50,M60,0.061666999269113926
4,5,2.4,50,K80,0.1584408516750653
4,5,2.4,50,T4,0.1844871858892165
4,5,2.4,50,V100,0.05509548080717592
4,5,2.4,75,M60,0.014515267264483838
4,5,2.4,75,K80,0.23282415804096895
4,5,2.4,75,T4,0.17685395302061296
4,5,2.4,75,V100,0.13113783479742316
4,5,2.4,100,M60,0.0714068096191875
4,5,2.4,100,K80,0.2706539439239918
4,5,2.4,100,T4,0.25840770726847323
4,5,2.4,100,V100,0.20737344278184633
8,1,0.8,50,M60,0.27481740539348304
8,1,0.8,50,K80,0.01230927525998687
8,1,0.8,50,T4,0.2742468910014968
8,1,0.8,50,V100,0.28225220291446074
8,1,0.8,75,M60,0.19988187878599584
8,1,0.8,75,K80,0.09265160075135959
8,1,0.8,75,T4,0.022308361718495217
8,1,0.8,75,V100,0.09796747318013287
8,1,0.8,100,M60,0.26572536589140405
8,1,0.8,100,K80,0.14330446358715299
8,1,0.8,100,T4,0.13289477845341624
8,1,0.8,100,V100,0.275348965273673
8,1,1.2,50,M60,0.13982943988908544
8,1,1.2,50,K80,0.07136366856979186
8,1,1.2,50,T4,0.04375821741061169
8,1,1.2,50,V100,0.039611410371186526
8,1,1.2,75,M60,0.28953739113706056
8,1,1.2,75,K80,0.15811495328681233
8,1,1.2,75,T4,0.07326556842947878
8,1,1.2,75,V100,0.1370295468111792
8,1,1.2,100,M60,0.25490439588751657
8,1,1.2,100,K80,0.0711322902192029
8,1,1.2,100,T4,0.13574716252302926
8,1,1.2,100,V100,0.1857422494027802
8,1,1.6,50,M60,0.13095240843811212
8,1,1.6,50,K80,0.08059187497228122
8,1,1.6,50,T4,0.22084023945639103
8,1,1.6,50,V100,0.1798597799521479
8,1,1.6,75,M60,0.11604019525789609
8,1,1.6,75,K80,0.283745637593811
8,1,1.6,75,T4,0.21568664681199803
