batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.2576924904508893
4,1,0.8,50,K80,0.12210257244164813
4,1,0.8,50,T4,0.07283720245259037
4,1,0.8,50,V100,0.17637378832136624
4,1,0.8,75,M60,0.12241905158213297
4,1,0.8,75,K80,0.05279716306582673
4,1,0.8,75,T4,0.2418817317024606
4,1,0.8,75,V100,0.10542594743135793
4,1,0.8,100,M60,0.14157674019864808
4,1,0.8,100,K80,0.13810009896841996
4,1,0.8,100,T4,0.0692418937028701
4,1,0.8,100,V100,0.2190095669347531
4,1,1.2,50,M60,0.06891130602642213
4,1,1.2,50,K80,0.0913155694999627
4,1,1.2,50,T4,0.2681192418405094
4,1,1.2,50,V100,0.03551881856853348
4,1,1.2,75,M60,0.09549524502128853
4,1,1.2,75,K80,0.18789943224521832
4,1,1.2,75,T4,0.10876769290280335
4,1,1.2,75,V100,0.22849779018797406
4,1,1.2,100,M60,0.26465005889897736
4,1,1.2,100,K80,0.01652806658889771
4,1,1.2,100,T4,0.13848713514662908
4,1,1.2,100,V100,0.10515090881242452
4,1,1.6,50,M60,0.27994562577346854
4,1,1.6,50,K80,0.25762105745145036
4,1,1.6,50,T4,0.0625139463217511
4,1,1.6,50,V100,0.1893497812948938
4,1,1.6,75,M60,0.20713552970794039
4,1,1.6,75,K80,0.22423798915274093
4,1,1.6,75,T4,0.025411008737348598
4,1,1.6,75,V100,0.14414242526915289
4,1,1.6,100,M60,0.12173259649356512
4,1,1.6,100,K80,0.16844051195562953
4,1,1.6,100,T4,0.08071309388388609
4,1,1.6,100,V100,0.08970846069239824
4,1,2.4,50,M60,0.27297898850220936
4,1,2.4,50,K80,0.21709960396745875
4,1,2.4,50,T4,0.23321703865042331
4,1,2.4,50,V100,0.13585122843566985
4,1,2.4,75,M60,0.21138215008792763
4,1,2.4,75,K80,0.14152298214685538
4,1,2.4,75,T4,0.05472846171001523
4,1,2.4,75,V100,0.10013753141195808
4,1,2.4,100,M60,0.23141183501165896
4,1,2.4,100,K80,0.2525059197989612
4,1,2.4,100,T4,0.2062239340085965
4,1,2.4,100,V100,0.06616620899306266
4,2,0.8,50,M60,0.06110792597657396
4,2,0.8,50,K80,0.21538375912272809
4,2,0.8,50,T4,0.18595949867951447
4,2,0.8,50,V100,0.04205615811816518
4,2,0.8,75,M60,0.11818864450216855
4,2,0.8,75,K80,0.07639490465335616
4,2,0.8,75,T4,0.053044110226931694
4,2,0.8,75,V100,0.15342670003605524
4,2,0.8,100,M60,0.15630568534313352
4,2,0.8,100,K80,0.037903487723228414
4,2,0.8,100,T4,0.22104341489143642
4,2,0.8,100,V100,0.28036841771655574
4,2,1.2,50,M60,0.10509390595751016
4,2,1.2,50,K80,0.2360506919493646
4,2,1.2,50,T4,0.15966225447078722
4,2,1.2,50,V100,0.04314068334869456
4,2,1.2,75,M60,0.023009122206103825
4,2,1.2,75,K80,0.14464418349613634
4,2,1.2,75,T4,0.20346423108576328
4,2,1.2,75,V100,0.1076029496551934
4,2,1.2,100,M60,0.11922582096453932
4,2,1.2,100,K80,0.19688519648440123
4,2,1.2,100,T4,0.009845614924884262
4,2,1.2,100,V100,0.10356865962995644
4,2,1.6,50,M60,0.22815342052671672
4,2,1.6,50,K80,0.18563582381673854
4,2,1.6,50,T4,0.21456307084388562
4,2,1.6,50,V100,0.13083101723977972
4,2,1.6,75,M60,0.15720107142075201
4,2,1.6,75,K80,0.08791834032481449
4,2,1.6,75,T4,0.17807371736207547
4,2,1.6,75,V100,0.17602337387064368
4,2,1.6,100,M60,0.10464537689820028
4,2,1.6,100,K80,0.2843745744168452
4,2,1.6,100,T4,0.25799040916145244
4,2,1.6,100,V100,0.1282711779040787
4,2,2.4,50,M60,0.009582294819811727
4,2,2.4,50,K80,0.1030318699089791
4,2,2.4,50,T4,0.0977711783238934
4,2,2.4,50,V100,0.27542770140994166
4,2,2.4,75,M60,0.01124074081523448
4,2,2.4,75,K80,0.0016352753214884485
4,2,2.4,75,T4,0.23901284799573533
4,2,2.4,75,V100,0.2401830644330115
4,2,2.4,100,M60,0.03901868139307451
4,2,2.4,100,K80,0.16420015129907992
4,2,2.4,100,T4,0.13634125201861713
4,2,2.4,100,V100,0.07598363760393627
4,3,0.8,50,M60,0.2310531003454011
4,3,0.8,50,K80,0.05989758389731055
4,3,0.8,50,T4,0.12603778721400397
4,3,0.8,50,V100,0.09397987116621455
4,3,0.8,75,M60,0.04787952740913735
4,3,0.8,75,K80,0.22061232856976862
4,3,0.8,75,T4,0.21986949902604802
4,3,0.8,75,V100,0.1817744573679463
4,3,0.8,100,M60,0.17588824459430832
4,3,0.8,100,K80,0.07907788620388073
4,3,0.8,100,T4,0.16241002194791648
4,3,0.8,100,V100,0.07529521258517372
4,3,1.2,50,M60,0.0903028383615732
4,3,1.2,50,K80,0.12985070347600722
4,3,1.2,50,T4,0.06572221824194291
4,3,1.2,50,V100,0.207558246093271
4,3,1.2,75,M60,0.24059470618439294
4,3,1.2,75,K80,0.15197995312721485
4,3,1.2,75,T4,0.22287014868877927
4,3,1.2,75,V100,0.06623991169809124
