batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.11039725932575868
4,1,0.8,50,K80,0.11738126551025205
4,1,0.8,50,T4,0.25714788497450647
4,1,0.8,50,V100,0.06539430581159207
4,1,0.8,75,M60,0.20900366672010331
4,1,0.8,75,K80,0.2894999971536116
4,1,0.8,75,T4,0.20062696261795682
4,1,0.8,75,V100,0.14395305799877528
4,1,0.8,100,M60,0.08212429819783032
4,1,0.8,100,K80,0.16450531530763268
4,1,0.8,100,T4,0.23710273536861265
4,1,0.8,100,V100,0.055100870853894084
4,1,1.2,50,M60,0.27004661701600163
4,1,1.2,50,K80,0.09949028139016189
4,1,1.2,50,T4,0.03849816008810904
4,1,1.2,50,V100,0.20409273514269446
4,1,1.2,75,M60,0.23962900688262317
4,1,1.2,75,K80,0.09290647143528938
4,1,1.2,75,T4,0.1752795529306408
4,1,1.2,75,V100,0.18055000431660725
4,1,1.2,100,M60,0.28456858447724465
4,1,1.2,100,K80,0.018062707480458136
4,1,1.2,100,T4,0.10070486567226512
4,1,1.2,100,V100,0.1641526352196793
4,1,1.6,50,M60,0.09752828012498033
4,1,1.6,50,K80,0.061097393322058664
4,1,1.6,50,T4,0.0022764241692781162
4,1,1.6,50,V100,0.2854229006052274
4,1,1.6,75,M60,0.07308466674160106
4,1,1.6,75,K80,0.06051811079832476
4,1,1.6,75,T4,0.25717981886259056
4,1,1.6,75,V100,0.20920934841926037
4,1,1.6,100,M60,0.1879138262445621
4,1,1.6,100,K80,0.20123945026726023
4,1,1.6,100,T4,0.20393214039667507
4,1,1.6,100,V100,0.04026905267791258
4,1,2.4,50,M60,0.2512945737871485
4,1,2.4,50,K80,0.057314883551351496
4,1,2.4,50,T4,0.17402567884700632
4,1,2.4,50,V100,0.25802827857154875
4,1,2.4,75,M60,0.17888137158815576
4,1,2.4,75,K80,0.16594813412975515
4,1,2.4,75,T4,0.03429282172952736
4,1,2.4,75,V100,0.06870612616492365
4,1,2.4,100,M60,0.24695060221295673
4,1,2.4,100,K80,0.2808446342868494
4,1,2.4,100,T4,0.07086875737816849
4,1,2.4,100,V100,0.20227714359701673
4,2,0.8,50,M60,0.19282128719072533
4,2,0.8,50,K80,0.19752603735348712
4,2,0.8,50,T4,0.2604783676488776
4,2,0.8,50,V100,0.0928022689537275
4,2,0.8,75,M60,0.09208753865120915
4,2,0.8,75,K80,0.28807021781673375
4,2,0.8,75,T4,0.08533028759101156
4,2,0.8,75,V100,0.2410916744092268
4,2,0.8,100,M60,0.20070187902606043
4,2,0.8,100,K80,0.2534263270828328
4,2,0.8,100,T4,0.14504440766752993
4,2,0.8,100,V100,0.1696491953267708
4,2,1.2,50,M60,0.10918734918505289
4,2,1.2,50,K80,0.15991891986727882
4,2,1.2,50,T4,0.06781903590074208
4,2,1.2,50,V100,0.21627729894576597
4,2,1.2,75,M60,0.007000939270618675
4,2,1.2,75,K80,0.03591291222767206
4,2,1.2,75,T4,0.21315580897975278
4,2,1.2,75,V100,0.1336006137963404
4,2,1.2,100,M60,0.18683077050589403
4,2,1.2,100,K80,0.1510975893564751
4,2,1.2,100,T4,0.19681674344751926
4,2,1.2,100,V100,0.028116268234156718
4,2,1.6,50,M60,0.06213671614825093
4,2,1.6,50,K80,0.08107338093182152
4,2,1.6,50,T4,0.17128489759571933
4,2,1.6,50,V100,0.1674355610600148
4,2,1.6,75,M60,0.2845186825155285
4,2,1.6,75,K80,0.22239134278019831
4,2,1.6,75,T4,0.17448574590507648
4,2,1.6,75,V100,0.20983588804917497
4,2,1.6,100,M60,0.16732355846703523
4,2,1.6,100,K80,0.08531771751035098
4,2,1.6,100,T4,0.24334099094174694
4,2,1.6,100,V100,0.14214867123176073
4,2,2.4,50,M60,0.04175799775461406
4,2,2.4,50,K80,0.13635559111000786
4,2,2.4,50,T4,0.2851557266643688
4,2,2.4,50,V100,0.004460565263464651
4,2,2.4,75,M60,0.015347608153815131
4,2,2.4,75,K80,0.017201553045734463
4,2,2.4,75,T4,0.002244832747889943
4,2,2.4,75,V100,0.28679273761735574
4,2,2.4,100,M60,0.11753038721173326
4,2,2.4,100,K80,0.17438158811367258
4,2,2.4,100,T4,0.0652886716376615
4,2,2.4,100,V100,0.27352331754436576
4,3,0.8,50,M60,0.2643897604071456
4,3,0.8,50,K80,0.1980487219845391
4,3,0.8,50,T4,0.22832708288203582
4,3,0.8,50,V100,0.1384583557902108
4,3,0.8,75,M60,0.16021828463374005
4,3,0.8,75,K80,0.2189679664974795
4,3,0.8,75,T4,0.021909192086037196
4,3,0.8,75,V100,0.06556417151748561
4,3,0.8,100,M60,0.11091130748464709
4,3,0.8,100,K80,0.15073228899665242
4,3,0.8,100,T4,0.03837361143217426
4,3,0.8,100,V100,0.15661666844002398
4,3,1.2,50,M60,0.27188197126162794
4,3,1.2,50,K80,0.10993689411884877
4,3,1.2,50,T4,0.1807755872275664
4,3,1.2,50,V100,0.1531607509894097
4,3,1.2,75,M60,0.197871562165492
4,3,1.2,75,K80,0.24354114069599878
4,3,1.2,75,T4,0.09193440758995217
4,3,1.2,75,V100,0.19499721305272805
4,3,1.2,100,M60,0.26934644129342294
4,3,1.2,100,K80,0.02292446088048184
4,3,1.2,100,T4,0.15839853319586172
4,3,1.2,100,V100,0.13054987384318026
4,3,1.6,50,M60,0.17369873725324048
4,3,1.6,50,K80,0.18742460298221925
4,3,1.6,50,T4,0.05143540372205634
4,3,1.6,50,V100,0.20342350842475143
4,3,1.6,75,M60,0.2760416810012782
4,3,1.6,75,K80,0.0827183380098492
4,3,1.6,75,T4,0.1004350749324489
4,3,1.6,75,V100,0.006602056338478814
4,3,1.6,100,M60,0.11965005868446311
4,3,1.6,100,K80,0.15658952689575187
4,3,1.6,100,T4,0.179402466989224
4,3,1.6,100,V100,0.09076869839872206
4,3,2.4,50,M60,0.05976611627759841
4,3,2.4,50,K80,0.10735832503083094
4,3,2.4,50,T4,0.271268358182751
4,3,2.4,50,V100,0.037488921816189784
4,3,2.4,75,M60,0.1267721449389861
4,3,2.4,75,K80,0.2148780986941288
4,3,2.4,75,T4,0.05597009275382498
4,3,2.4,75,V100,0.09865774721588666
4,3,2.4,100,M60,0.03210544226351262
4,3,2.4,100,K80,0.15898834074097382
4,3,2.4,100,T4,0.2161094296766183
4,3,2.4,100,V100,0.2653699173990396
4,4,0.8,50,M60,0.28315928670756163
