batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.19835463060762465
4,1,0.8,50,K80,0.19603321289475506
4,1,0.8,50,T4,0.24544012676515056
4,1,0.8,50,V100,0.04528617516777544
4,1,0.8,75,M60,0.03237355963609313
4,1,0.8,75,K80,0.14329163513457385
4,1,0.8,75,T4,0.27215273953797137
4,1,0.8,75,V100,0.08386448103375288
4,1,0.8,100,M60,0.1035264177837666
4,1,0.8,100,K80,0.10147463179631719
4,1,0.8,100,T4,0.05335666677278055
4,1,0.8,100,V100,0.15735660586857908
4,1,1.2,50,M60,0.2673171096388784
4,1,1.2,50,K80,0.18815264956674627
4,1,1.2,50,T4,0.22012195384787853
4,1,1.2,50,V100,0.13377152200155099
4,1,1.2,75,M60,0.25409381057002695
4,1,1.2,75,K80,0.1428565465114053
4,1,1.2,75,T4,0.27526389107935256
4,1,1.2,75,V100,0.23459715343036355
4,1,1.2,100,M60,0.22281046075959324
4,1,1.2,100,K80,0.1296956625145192
4,1,1.2,100,T4,0.20154609298843218
4,1,1.2,100,V100,0.22542134730051322
4,1,1.6,50,M60,0.28779599012705925
4,1,1.6,50,K80,0.12753734289272783
4,1,1.6,50,T4,0.0069668443193937985
4,1,1.6,50,V100,0.008217523696350933
4,1,1.6,75,M60,0.08787056110960252
4,1,1.6,75,K80,0.05070942080029174
4,1,1.6,75,T4,0.1328027671982154
4,1,1.6,75,V100,0.1669701577041025
4,1,1.6,100,M60,0.016843470126159506
4,1,1.6,100,K80,0.16456134433711184
4,1,1.6,100,T4,0.13455653621087119
4,1,1.6,100,V100,0.15940121239387764
4,1,2.4,50,M60,0.05984695078726814
4,1,2.4,50,K80,0.04671748390567069
4,1,2.4,50,T4,0.2600368046149673
4,1,2.4,50,V100,0.25675557804809196
4,1,2.4,75,M60,0.25630722275713164
4,1,2.4,75,K80,0.14125301210832697
4,1,2.4,75,T4,0.09904841785629057
4,1,2.4,75,V100,0.007723320266721073
4,1,2.4,100,M60,0.28289795662391437
4,1,2.4,100,K80,0.2538078498913648
4,1,2.4,100,T4,0.07702252274265065
4,1,2.4,100,V100,0.1428475993376664
4,2,0.8,50,M60,0.167020563533297
4,2,0.8,50,K80,0.09937203509790542
4,2,0.8,50,T4,0.09821006997838297
4,2,0.8,50,V100,0.1206075779186678
4,2,0.8,75,M60,0.010659685088510543
4,2,0.8,75,K80,0.23242121739172591
4,2,0.8,75,T4,0.10062436910469179
4,2,0.8,75,V100,0.20419831261230056
4,2,0.8,100,M60,0.1234314022439556
4,2,0.8,100,K80,0.12656745323796725
4,2,0.8,100,T4,0.036068257605758484
4,2,0.8,100,V100,0.03912758700359076
4,2,1.2,50,M60,0.025405628169414284
4,2,1.2,50,K80,0.19551594144696208
4,2,1.2,50,T4,0.1498059384046843
4,2,1.2,50,V100,0.20453442075108963
4,2,1.2,75,M60,0.01518819368973315
4,2,1.2,75,K80,0.25346801946157754
4,2,1.2,75,T4,0.07928006688268788
4,2,1.2,75,V100,0.10292442766095246
4,2,1.2,100,M60,0.08950181401838118
4,2,1.2,100,K80,0.2880855979605647
4,2,1.2,100,T4,0.19428526015831604
4,2,1.2,100,V100,0.16767437836091842
4,2,1.6,50,M60,0.17835030133554075
4,2,1.6,50,K80,0.22817291901198877
4,2,1.6,50,T4,0.23589119164517958
4,2,1.6,50,V100,0.2590643181346975
4,2,1.6,75,M60,0.2037019258995046
4,2,1.6,75,K80,0.2751705561154561
4,2,1.6,75,T4,0.10522322488424327
4,2,1.6,75,V100,0.28307804901102857
4,2,1.6,100,M60,0.13151067133250668
4,2,1.6,100,K80,0.28261193314524014
4,2,1.6,100,T4,0.2558506210890785
4,2,1.6,100,V100,0.03598003913687959
4,2,2.4,50,M60,0.2170209583657046
4,2,2.4,50,K80,0.10061061850556957
4,2,2.4,50,T4,0.10681207862340077
4,2,2.4,50,V100,0.02402405547108112
4,2,2.4,75,M60,0.0206062556285231
4,2,2.4,75,K80,0.2118411728088755
4,2,2.4,75,T4,0.011411450377497552
4,2,2.4,75,V100,0.2760222602321944
4,2,2.4,100,M60,0.1918585523367751
4,2,2.4,100,K80,0.18152392733185857
4,2,2.4,100,T4,0.16647819186953608
4,2,2.4,100,V100,0.005709708071635809
4,3,0.8,50,M60,0.19767649427620992
4,3,0.8,50,K80,0.17807411419196406
4,3,0.8,50,T4,0.19879430700660025
4,3,0.8,50,V100,0.2584662855336941
4,3,0.8,75,M60,0.022246250149052106
4,3,0.8,75,K80,0.08330548708655035
4,3,0.8,75,T4,0.17668023766623392
4,3,0.8,75,V100,0.031442640949084145
4,3,0.8,100,M60,0.18380354102601862
4,3,0.8,100,K80,0.18845328238189368
4,3,0.8,100,T4,0.13913469158627678
4,3,0.8,100,V100,0.013464498672568957
4,3,1.2,50,M60,0.2154791714851954
4,3,1.2,50,K80,0.019426809194592214
