batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.28046081551217555
4,1,0.8,50,K80,0.1830757789118564
4,1,0.8,50,T4,0.18349170045165175
4,1,0.8,50,V100,0.21442863611522567
4,1,0.8,75,M60,0.12532152663135523
4,1,0.8,75,K80,0.038153532697268205
4,1,0.8,75,T4,0.20309889138029624
4,1,0.8,75,V100,0.2469573420007642
4,1,0.8,100,M60,0.043515996978367256
4,1,0.8,100,K80,0.16816135090984377
4,1,0.8,100,T4,0.28136724176746153
4,1,0.8,100,V100,0.15410067044421177
4,1,1.2,50,M60,0.281604613014897
4,1,1.2,50,K80,0.15424171875411205
4,1,1.2,50,T4,0.2879583866963935
4,1,1.2,50,V100,0.10218586615842143
4,1,1.2,75,M60,0.1809150486799389
4,1,1.2,75,K80,0.16266460664957305
4,1,1.2,75,T4,0.09433354796299931
4,1,1.2,75,V100,0.2754638626754104
4,1,1.2,100,M60,0.2457184931563703
4,1,1.2,100,K80,0.1887350817720115
4,1,1.2,100,T4,0.027485234225437423
4,1,1.2,100,V100,0.12686383972014081
4,1,1.6,50,M60,0.009529873631243252
4,1,1.6,50,K80,0.07845637788012134
4,1,1.6,50,T4,0.22156629991723842
4,1,1.6,50,V100,0.22407385670343627
4,1,1.6,75,M60,0.2580831790390957
4,1,1.6,75,K80,0.07241532133406064
4,1,1.6,75,T4,0.2531423228702477
4,1,1.6,75,V100,0.152227237296591
4,1,1.6,100,M60,0.23919324107197373
4,1,1.6,100,K80,0.15548300469094992
4,1,1.6,100,T4,0.15696370772805587
4,1,1.6,100,V100,0.14050381724016203
4,1,2.4,50,M60,0.06595354283907402
4,1,2.4,50,K80,0.20214960010470767
4,1,2.4,50,T4,0.20276439138060479
4,1,2.4,50,V100,0.05459401817291231
4,1,2.4,75,M60,0.061848606589668564
4,1,2.4,75,K80,0.2207804296607056
4,1,2.4,75,T4,0.0847639967476172
4,1,2.4,75,V100,0.18471802437134055
4,1,2.4,100,M60,0.24628849499913663
4,1,2.4,100,K80,0.09307304406373439
4,1,2.4,100,T4,0.21567944111829856
4,1,2.4,100,V100,0.13101213650047236
4,2,0.8,50,M60,0.20744680919036612
4,2,0.8,50,K80,0.16994914788180285
4,2,0.8,50,T4,0.11061443760596837
4,2,0.8,50,V100,0.27527945384739533
4,2,0.8,75,M60,0.07868968429471226
4,2,0.8,75,K80,0.05971663997738243
4,2,0.8,75,T4,0.15510306413847996
4,2,0.8,75,V100,0.13005560225269347
4,2,0.8,100,M60,0.2790389957948514
4,2,0.8,100,K80,0.03647020462613535
4,2,0.8,100,T4,0.26936980510442204
4,2,0.8,100,V100,0.2253106812039341
4,2,1.2,50,M60,0.22239633380374596
4,2,1.2,50,K80,0.22081912290572406
4,2,1.2,50,T4,0.2669877658133026
4,2,1.2,50,V100,0.022533425704218544
4,2,1.2,75,M60,0.28844809124520643
4,2,1.2,75,K80,0.1475155342969005
4,2,1.2,75,T4,0.19421820549134944
4,2,1.2,75,V100,0.1582073917553155
4,2,1.2,100,M60,0.11770550161451404
4,2,1.2,100,K80,0.021992040464606205
4,2,1.2,100,T4,0.036584006073645224
4,2,1.2,100,V100,0.1967424074186229
4,2,1.6,50,M60,0.024124380791757046
4,2,1.6,50,K80,0.011348129472208479
4,2,1.6,50,T4,0.05795850843107508
4,2,1.6,50,V100,0.23295945568965867
4,2,1.6,75,M60,0.09099349811107064
4,2,1.6,75,K80,0.08832749531336735
4,2,1.6,75,T4,0.1685603061431673
4,2,1.6,75,V100,0.11754523609382157
4,2,1.6,100,M60,0.004436034218326387
4,2,1.6,100,K80,0.12228319871757921
4,2,1.6,100,T4,0.09127278988897465
4,2,1.6,100,V100,0.15776763202723298
4,2,2.4,50,M60,0.25928872338757153
4,2,2.4,50,K80,0.025097704731672228
4,2,2.4,50,T4,0.20534234718191857
4,2,2.4,50,V100,0.06170569789579489
4,2,2.4,75,M60,0.028656791342142753
4,2,2.4,75,K80,0.249852201381682
4,2,2.4,75,T4,0.06321554877721615
4,2,2.4,75,V100,0.12478665617094484
4,2,2.4,100,M60,0.03512504137004122
4,2,2.4,100,K80,0.2564714565936986
4,2,2.4,100,T4,0.17407201846475648
4,2,2.4,100,V100,0.186387444510621
4,3,0.8,50,M60,0.04802734836073167
4,3,0.8,50,K80,0.07509014927404674
4,3,0.8,50,T4,0.08318426167017563
4,3,0.8,50,V100,0.044623242753917075
4,3,0.8,75,M60,0.1658621560914966
4,3,0.8,75,K80,0.1971483976909914
4,3,0.8,75,T4,0.10159615936034465
4,3,0.8,75,V100,0.09556455858474831
4,3,0.8,100,M60,0.2501463834477413
4,3,0.8,100,K80,0.2881902588869444
4,3,0.8,100,T4,0.27726567350316617
4,3,0.8,100,V100,0.05840959640059213
4,3,1.2,50,M60,0.15172315424802044
4,3,1.2,50,K80,0.20134169747250788
4,3,1.2,50,T4,0.0875470783140086
4,3,1.2,50,V100,0.19165071620342455
4,3,1.2,75,M60,0.1154322072052537
4,3,1.2,75,K80,0.14686166520275998
4,3,1.2,75,T4,0.2398933454283911
4,3,1.2,75,V100,0.05433904167099763
4,3,1.2,100,M60,0.13259020143170927
4,3,1.2,100,K80,0.2717638941437341
4,3,1.2,100,T4,0.2830722696722473
4,3,1.2,100,V100,0.227175244309132
4,3,1.6,50,M60,0.08291873405320008
4,3,1.6,50,K80,0.03431641365647483
4,3,1.6,50,T4,0.25125398821401784
4,3,1.6,50,V100,0.0354124552977929
4,3,1.6,75,M60,0.0668346875849973
4,3,1.6,75,K80,0.2002936209550587
4,3,1.6,75,T4,0.02041840324174347
4,3,1.6,75,V100,0.26019258817474594
4,3,1.6,100,M60,0.06594635304006041
