batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.12880790044704518
4,1,0.8,50,K80,0.1007456005867059
4,1,0.8,50,T4,0.05475427900896631
4,1,0.8,50,V100,0.17080533068936363
4,1,0.8,75,M60,0.05444385129305236
4,1,0.8,75,K80,0.09079456401310673
4,1,0.8,75,T4,0.1933368873323871
4,1,0.8,75,V100,0.21494765484329528
4,1,0.8,100,M60,0.008479313343784378
4,1,0.8,100,K80,0.16995856649993724
4,1,0.8,100,T4,0.239303683797778
4,1,0.8,100,V100,0.28457603010435856
4,1,1.2,50,M60,0.07154031223577928
4,1,1.2,50,K80,0.07184378872562071
4,1,1.2,50,T4,0.15217191003917505
4,1,1.2,50,V100,0.184213030300566
4,1,1.2,75,M60,0.002904889228894324
4,1,1.2,75,K80,0.2698841012452365
4,1,1.2,75,T4,0.15277787248129715
4,1,1.2,75,V100,0.2339810781688516
4,1,1.2,100,M60,0.13111385327488428
4,1,1.2,100,K80,0.20589417971044427
4,1,1.2,100,T4,0.19132025474901238
4,1,1.2,100,V100,0.1898478429187113
4,1,1.6,50,M60,0.029155852374837823
4,1,1.6,50,K80,0.10036037938800493
4,1,1.6,50,T4,0.18103305128072664
4,1,1.6,50,V100,0.2337072104047235
4,1,1.6,75,M60,0.1762466509546311
4,1,1.6,75,K80,0.1651875570493285
4,1,1.6,75,T4,0.02751053902421853
4,1,1.6,75,V100,0.05170534999205918
4,1,1.6,100,M60,0.2100192692393645
4,1,1.6,100,K80,0.09979897562652215
4,1,1.6,100,T4,0.040930471419886316
4,1,1.6,100,V100,0.04223354528244562
4,1,2.4,50,M60,0.0010949387539039256
4,1,2.4,50,K80,0.10591067448064896
4,1,2.4,50,T4,0.13332961907911853
4,1,2.4,50,V100,0.025718752201208058
4,1,2.4,75,M60,0.08725124246717843
4,1,2.4,75,K80,0.1814144271466171
4,1,2.4,75,T4,0.19637966725242595
4,1,2.4,75,V100,0.004471613334546987
4,1,2.4,100,M60,0.09884952631852512
4,1,2.4,100,K80,0.14703297522747194
4,1,2.4,100,T4,0.09570532521521294
4,1,2.4,100,V100,0.07369859117456343
4,2,0.8,50,M60,0.10961505663479995
4,2,0.8,50,K80,0.1468361031741397
4,2,0.8,50,T4,0.1745653051076901
4,2,0.8,50,V100,0.19322953799533235
4,2,0.8,75,M60,0.01014180017581493
4,2,0.8,75,K80,0.2446538736477986
4,2,0.8,75,T4,0.0048475825756959445
4,2,0.8,75,V100,0.25954882603518237
4,2,0.8,100,M60,0.1366980519712581
4,2,0.8,100,K80,0.26086406911641047
4,2,0.8,100,T4,0.07974184700903131
4,2,0.8,100,V100,0.02051179731088753
4,2,1.2,50,M60,0.09605877280193414
4,2,1.2,50,K80,0.2616724954698683
4,2,1.2,50,T4,0.05086844033256366
4,2,1.2,50,V100,0.034396466212184
