batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.2797330771815036
4,1,0.8,50,K80,0.10965258942497526
4,1,0.8,50,T4,0.2861813772754962
4,1,0.8,50,V100,0.09334559025258245
4,1,0.8,75,M60,0.2754665717379416
4,1,0.8,75,K80,0.23102741824080938
4,1,0.8,75,T4,0.23751087804828216
4,1,0.8,75,V100,0.15742190481894133
4,1,0.8,100,M60,0.03263625788756365
4,1,0.8,100,K80,0.1974749935131376
4,1,0.8,100,T4,0.19792183271758806
4,1,0.8,100,V100,0.19268336162460434
4,1,1.2,50,M60,0.020193887812524926
4,1,1.2,50,K80,0.15700848752860955
4,1,1.2,50,T4,0.2206821995745677
4,1,1.2,50,V100,0.19013438981592928
4,1,1.2,75,M60,0.05533992236834061
4,1,1.2,75,K80,0.19996805488844316
4,1,1.2,75,T4,0.28971742826428426
4,1,1.2,75,V100,0.2418296994277177
4,1,1.2,100,M60,0.1842984748505481
4,1,1.2,100,K80,0.10716052693563169
4,1,1.2,100,T4,0.027359967109666268
4,1,1.2,100,V100,0.05361134297853318
4,1,1.6,50,M60,0.0021520226063354
4,1,1.6,50,K80,0.2830104767464937
4,1,1.6,50,T4,0.1365502331807656
4,1,1.6,50,V100,0.25357987613001326
4,1,1.6,75,M60,0.18597142471521275
4,1,1.6,75,K80,0.23098525166505726
4,1,1.6,75,T4,0.00705494952397374
4,1,1.6,75,V100,0.20224469764939923
4,1,1.6,100,M60,0.1463274849788005
4,1,1.6,100,K80,0.2188201542034872
4,1,1.6,100,T4,0.030153073290372923
4,1,1.6,100,V100,0.18309327633107464
4,1,2.4,50,M60,0.18670700966769616
4,1,2.4,50,K80,0.1883616052620382
4,1,2.4,50,T4,0.03844583896028408
4,1,2.4,50,V100,0.07857059005418099
4,1,2.4,75,M60,0.20417787950873456
4,1,2.4,75,K80,0.06078494789702547
4,1,2.4,75,T4,0.0888145531055301
4,1,2.4,75,V100,0.14162596505573669
4,1,2.4,100,M60,0.009156667027484466
4,1,2.4,100,K80,0.04778119335614752
4,1,2.4,100,T4,0.2854538883907786
4,1,2.4,100,V100,0.19907985855549162
4,2,0.8,50,M60,0.17462820767896436
4,2,0.8,50,K80,0.16578100635731538
4,2,0.8,50,T4,0.10077840756294998
4,2,0.8,50,V100,0.023717240890847594
4,2,0.8,75,M60,0.1667340888119057
4,2,0.8,75,K80,0.09917530240005558
4,2,0.8,75,T4,0.17243394162661163
4,2,0.8,75,V100,0.14187853393975144
4,2,0.8,100,M60,0.05290429528682759
4,2,0.8,100,K80,0.22480796154844915
4,2,0.8,100,T4,0.0893263709100214
4,2,0.8,100,V100,0.09557024156889711
4,2,1.2,50,M60,0.21117729127331483
4,2,1.2,50,K80,0.09538368045777258
4,2,1.2,50,T4,0.17812450886441714
4,2,1.2,50,V100,0.28883502113126575
4,2,1.2,75,M60,0.006219073043185206
4,2,1.2,75,K80,0.04606249660253507
4,2,1.2,75,T4,0.01656192865981333
4,2,1.2,75,V100,0.05454692647767976
4,2,1.2,100,M60,0.058109380211910915
4,2,1.2,100,K80,0.106663142924309
4,2,1.2,100,T4,0.20282459119269577
4,2,1.2,100,V100,0.1844612875666406
4,2,1.6,50,M60,0.11269047881452107
4,2,1.6,50,K80,0.1849910289229348
4,2,1.6,50,T4,0.034187247491533346
4,2,1.6,50,V100,0.2445173481868721
4,2,1.6,75,M60,0.04793789917644531
4,2,1.6,75,K80,0.03696554184724312
4,2,1.6,75,T4,0.057056924751719945
4,2,1.6,75,V100,0.13587776176697422
4,2,1.6,100,M60,0.1566452972499839
4,2,1.6,100,K80,0.10907428149036205
4,2,1.6,100,T4,0.06726866238456669
4,2,1.6,100,V100,0.06280486683746762
4,2,2.4,50,M60,0.09341198768185754
4,2,2.4,50,K80,0.21324643182500175
4,2,2.4,50,T4,0.22164107208215314
4,2,2.4,50,V100,0.1717864654759839
4,2,2.4,75,M60,0.12601479158971352
4,2,2.4,75,K80,0.1849715556421071
4,2,2.4,75,T4,0.18605005061347554
4,2,2.4,75,V100,0.164927218787118
4,2,2.4,100,M60,0.20736311906836682
4,2,2.4,100,K80,0.12840295600278004
4,2,2.4,100,T4,0.11310725454093971
4,2,2.4,100,V100,0.03783207331297534
4,3,0.8,50,M60,0.24332531025941584
4,3,0.8,50,K80,0.040565124656171285
4,3,0.8,50,T4,0.2705394833062268
4,3,0.8,50,V100,0.22086010043790097
4,3,0.8,75,M60,0.02918035144749118
4,3,0.8,75,K80,0.18665142309830712
4,3,0.8,75,T4,0.15130162453649812
4,3,0.8,75,V100,0.21421504842790623
4,3,0.8,100,M60,0.2830988440874996
4,3,0.8,100,K80,0.1446991244898345
4,3,0.8,100,T4,0.028137630952409787
4,3,0.8,100,V100,0.12087311719959742
4,3,1.2,50,M60,0.12876288893752824
4,3,1.2,50,K80,0.2154379658200256
4,3,1.2,50,T4,0.22248755040331264
4,3,1.2,50,V100,0.08257080411669483
4,3,1.2,75,M60,0.18637219650615724
4,3,1.2,75,K80,0.04054404289050902
4,3,1.2,75,T4,0.0652715590134984
4,3,1.2,75,V100,0.017320453509864355
4,3,1.2,100,M60,0.2447465732396997
4,3,1.2,100,K80,0.18120734307113556
4,3,1.2,100,T4,0.01079341160520646
4,3,1.2,100,V100,0.10725486757066743
4,3,1.6,50,M60,0.014188357999889703
4,3,1.6,50,K80,0.2813405977234803
4,3,1.6,50,T4,0.08962872159292087
4,3,1.6,50,V100,0.053161346029775874
4,3,1.6,75,M60,0.1542713728637079
4,3,1.6,75,K80,0.13703153561101322
4,3,1.6,75,T4,0.08838142159290813
4,3,1.6,75,V100,0.01289699953139843
4,3,1.6,100,M60,0.25963614117149075
4,3,1.6,100,K80,0.11723249656039252
4,3,1.6,100,T4,0.01375913203226698
4,3,1.6,100,V100,0.28357036823435194
4,3,2.4,50,M60,0.02393225630773548
4,3,2.4,50,K80,0.12501844673073825
4,3,2.4,50,T4,0.2275712351076989
4,3,2.4,50,V100,0.107313897509616
4,3,2.4,75,M60,0.08251326711755178
4,3,2.4,75,K80,0.11218698623990082
4,3,2.4,75,T4,0.06587692960284837
4,3,2.4,75,V100,0.0544414854926075
4,3,2.4,100,M60,0.10023408668135159
4,3,2.4,100,K80,0.010070836720921312
4,3,2.4,100,T4,0.16644882112271261
4,3,2.4,100,V100,0.207057817859343
4,4,0.8,50,M60,0.003322647112242932
4,4,0.8,50,K80,0.044438238965080964
4,4,0.8,50,T4,0.003973445242772459
4,4,0.8,50,V100,0.001228578427259722
