batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.008529295353748717
4,1,0.8,50,K80,0.15189509965911213
4,1,0.8,50,T4,0.09750943061793449
4,1,0.8,50,V100,0.047385042279300855
4,1,0.8,75,M60,0.16510501432780972
4,1,0.8,75,K80,0.03265539864009536
4,1,0.8,75,T4,0.2753716428605359
4,1,0.8,75,V100,0.09604592598754938
4,1,0.8,100,M60,0.2825814879015864
4,1,0.8,100,K80,0.17054375741698294
4,1,0.8,100,T4,0.14975855530565008
4,1,0.8,100,V100,0.00019435301991884256
4,1,1.2,50,M60,0.13953597689149863
4,1,1.2,50,K80,0.16879284339045747
4,1,1.2,50,T4,0.11320913032560144
4,1,1.2,50,V100,0.1792915442705148
4,1,1.2,75,M60,0.02438382159021644
4,1,1.2,75,K80,0.22110722416409692
4,1,1.2,75,T4,0.23230482743921307
4,1,1.2,75,V100,0.25351816566319146
4,1,1.2,100,M60,0.03935480167959369
4,1,1.2,100,K80,0.11985998637112037
4,1,1.2,100,T4,0.22337428817731284
4,1,1.2,100,V100,0.04113626451604959
4,1,1.6,50,M60,0.22155878819235292
4,1,1.6,50,K80,0.07021660206125763
4,1,1.6,50,T4,0.11584243244274522
4,1,1.6,50,V100,0.061859852138006204
4,1,1.6,75,M60,0.25660981028077384
4,1,1.6,75,K80,0.1139175775693199
4,1,1.6,75,T4,0.25943780426110047
4,1,1.6,75,V100,0.023416323849486737
4,1,1.6,100,M60,0.254810212625784
4,1,1.6,100,K80,0.2389630788637462
4,1,1.6,100,T4,0.20672443518172084
4,1,1.6,100,V100,0.2554399982788527
4,1,2.4,50,M60,0.10513775688847558
4,1,2.4,50,K80,0.17753983922187722
4,1,2.4,50,T4,0.10654966511350555
4,1,2.4,50,V100,0.09258954828164018
4,1,2.4,75,M60,0.22939469973643134
4,1,2.4,75,K80,0.16796565983127945
4,1,2.4,75,T4,0.1116828240354423
4,1,2.4,75,V100,0.21850837050482858
4,1,2.4,100,M60,0.2371426922607615
4,1,2.4,100,K80,0.25658511683223295
4,1,2.4,100,T4,0.14476938361182298
4,1,2.4,100,V100,0.17708138267411702
