batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.19665667771202722
4,1,0.8,50,K80,0.09309136191130575
4,1,0.8,50,T4,0.28610626856773086
4,1,0.8,50,V100,0.18977186231807452
4,1,0.8,75,M60,0.07643590915851955
4,1,0.8,75,K80,0.05315858011536019
4,1,0.8,75,T4,0.048290877566839044
4,1,0.8,75,V100,0.08758550630325988
4,1,0.8,100,M60,0.0787177058512612
4,1,0.8,100,K80,0.06414252988244118
4,1,0.8,100,T4,0.2021225037880076
4,1,0.8,100,V100,0.18530442323022453
4,1,1.2,50,M60,0.14859793686795067
4,1,1.2,50,K80,0.008089105219516543
4,1,1.2,50,T4,0.04046018444551238
4,1,1.2,50,V100,0.1209440316430278
4,1,1.2,75,M60,0.12310529177556664
4,1,1.2,75,K80,0.019551930258888853
4,1,1.2,75,T4,0.21061653675487665
4,1,1.2,75,V100,0.008194788971682403
4,1,1.2,100,M60,0.16905687693138788
4,1,1.2,100,K80,0.275435157455453
4,1,1.2,100,T4,0.005106244667754209
4,1,1.2,100,V100,0.25537349722197616
4,1,1.6,50,M60,0.048026704746151665
4,1,1.6,50,K80,0.21764166005730085
4,1,1.6,50,T4,0.16395578040244704
4,1,1.6,50,V100,0.06034971006767434
4,1,1.6,75,M60,0.05463798707013395
4,1,1.6,75,K80,0.14063988958843757
4,1,1.6,75,T4,0.12986226228570522
4,1,1.6,75,V100,0.2734122765467783
4,1,1.6,100,M60,0.12044122661321034
4,1,1.6,100,K80,0.14050366517894175
4,1,1.6,100,T4,0.13415188838114153
4,1,1.6,100,V100,0.17499871733732858
4,1,2.4,50,M60,0.25513269413541545
4,1,2.4,50,K80,0.08179748924877665
4,1,2.4,50,T4,0.15218768804700766
4,1,2.4,50,V100,0.19448885040856842
4,1,2.4,75,M60,0.2332504064495215
4,1,2.4,75,K80,0.21228213640308558
4,1,2.4,75,T4,0.2670063353395725
4,1,2.4,75,V100,0.14658952118006152
4,1,2.4,100,M60,0.2797757270985598
4,1,2.4,100,K80,0.20196034255584494
4,1,2.4,100,T4,0.16256573500443344
4,1,2.4,100,V100,0.13686119397256485
4,2,0.8,50,M60,0.08936534933888174
4,2,0.8,50,K80,0.021220269011612093
4,2,0.8,50,T4,0.03771781800906577
4,2,0.8,50,V100,0.2478929282318677
4,2,0.8,75,M60,0.08058351306207663
4,2,0.8,75,K80,0.272184252551639
4,2,0.8,75,T4,0.2691942445953728
4,2,0.8,75,V100,0.264833832434049
4,2,0.8,100,M60,0.03640711240892692
4,2,0.8,100,K80,0.03525229251915241
4,2,0.8,100,T4,0.26242570951936445
4,2,0.8,100,V100,0.1687963531591159
4,2,1.2,50,M60,0.15651930278725906
4,2,1.2,50,K80,0.2650617972648809
4,2,1.2,50,T4,0.13689071475031642
4,2,1.2,50,V100,0.040294706218284335
4,2,1.2,75,M60,0.09726153359000896
4,2,1.2,75,K80,0.2626704327270029
4,2,1.2,75,T4,0.24873064449942184
4,2,1.2,75,V100,0.23926559498734026
4,2,1.2,100,M60,0.0034035793974962055
4,2,1.2,100,K80,0.09625654502854669
4,2,1.2,100,T4,0.058494642657524
4,2,1.2,100,V100,0.08481461542912781
4,2,1.6,50,M60,0.1555170859813868
4,2,1.6,50,K80,0.11403562027451747
4,2,1.6,50,T4,0.2640171312377742
4,2,1.6,50,V100,0.08519065915283097
4,2,1.6,75,M60,0.04546450117181506
4,2,1.6,75,K80,0.1935701424917407
4,2,1.6,75,T4,0.1926089389585617
4,2,1.6,75,V100,0.10228728226386408
4,2,1.6,100,M60,0.17569802533576956
4,2,1.6,100,K80,0.151655953736819
4,2,1.6,100,T4,0.18427223291834213
4,2,1.6,100,V100,0.260922661234725
4,2,2.4,50,M60,0.03359887371943084
4,2,2.4,50,K80,0.18068808487331703
4,2,2.4,50,T4,0.24193800654950365
4,2,2.4,50,V100,0.217301765054086
4,2,2.4,75,M60,0.15206395891961635
4,2,2.4,75,K80,0.010245767421771693
4,2,2.4,75,T4,0.28640122202825424
4,2,2.4,75,V100,0.2530704930530606
4,2,2.4,100,M60,0.00012649802485538263
4,2,2.4,100,K80,0.20172235867461305
4,2,2.4,100,T4,0.005032041061627694
4,2,2.4,100,V100,0.16071984954345853
4,3,0.8,50,M60,0.23133925117746296
4,3,0.8,50,K80,0.10303497663238682
4,3,0.8,50,T4,0.20433245753509063
4,3,0.8,50,V100,0.28581985854763226
4,3,0.8,75,M60,0.15743998896685196
4,3,0.8,75,K80,0.2709197854892322
4,3,0.8,75,T4,0.10428194521058398
4,3,0.8,75,V100,0.1406966065078782
4,3,0.8,100,M60,0.17612617165770075
4,3,0.8,100,K80,0.1681333174756868
4,3,0.8,100,T4,0.1598316199857302
4,3,0.8,100,V100,0.1043590145430948
4,3,1.2,50,M60,0.07811024242131501
4,3,1.2,50,K80,0.16304944048095762
4,3,1.2,50,T4,0.021197632038911125
4,3,1.2,50,V100,0.02851128355870309
4,3,1.2,75,M60,0.14130194911125546
4,3,1.2,75,K80,0.06968421661103621
4,3,1.2,75,T4,0.21651438829484934
4,3,1.2,75,V100,0.2850125358364979
4,3,1.2,100,M60,0.10710179459366662
4,3,1.2,100,K80,0.09588941324015002
4,3,1.2,100,T4,0.270589272967521
4,3,1.2,100,V100,0.25046554657598286
4,3,1.6,50,M60,0.039416982999660274
4,3,1.6,50,K80,0.021856956587856084
4,3,1.6,50,T4,0.196445022656732
4,3,1.6,50,V100,0.27240865448523804
4,3,1.6,75,M60,0.2145318194038277
4,3,1.6,75,K80,0.08340852166376962
4,3,1.6,75,T4,0.25787843960740564
4,3,1.6,75,V100,0.033039638834619654
4,3,1.6,100,M60,0.20613980737541432
4,3,1.6,100,K80,0.22021980863012536
4,3,1.6,100,T4,0.11892451738737496
4,3,1.6,100,V100,0.18311802338381059
4,3,2.4,50,M60,0.08120683485010152
4,3,2.4,50,K80,0.1242738743837963
4,3,2.4,50,T4,0.16668314392088568
4,3,2.4,50,V100,0.28252636531388453
4,3,2.4,75,M60,0.08637849443230365
4,3,2.4,75,K80,0.037279673551542665
4,3,2.4,75,T4,0.11619866107892578
4,3,2.4,75,V100,0.24999056600718308
4,3,2.4,100,M60,0.09571759494566083
4,3,2.4,100,K80,0.12172350528851053
4,3,2.4,100,T4,0.21862107729674055
4,3,2.4,100,V100,0.23895411111539142
4,4,0.8,50,M60,0.04344954826543795
4,4,0.8,50,K80,0.14949594494318813
4,4,0.8,50,T4,0.236828894757764
4,4,0.8,50,V100,0.19503324103513173
4,4,0.8,75,M60,0.04558761900255641
4,4,0.8,75,K80,0.28179490338719243
4,4,0.8,75,T4,0.09778404437285473
4,4,0.8,75,V100,0.04523323548189042
4,4,0.8,100,M60,0.23721058922803162
4,4,0.8,100,K80,0.1407389303906562
4,4,0.8,100,T4,0.08167538914530889
4,4,0.8,100,V100,0.07573644588170586
4,4,1.2,50,M60,0.2280143716509391
4,4,1.2,50,K80,0.2140858285505105
4,4,1.2,50,T4,0.2870562938301208
4,4,1.2,50,V100,0.21433488211388543
4,4,1.2,75,M60,0.11280246963891975
4,4,1.2,75,K80,0.26960696108599447
4,4,1.2,75,T4,0.22694313164985072
4,4,1.2,75,V100,0.14420390454434226
4,4,1.2,100,M60,0.23791890093368792
4,4,1.2,100,K80,0.16859762723490487
4,4,1.2,100,T4,0.011043348245777991
4,4,1.2,100,V100,0.10663630210199278
4,4,1.6,50,M60,0.1203115115385469
4,4,1.6,50,K80,0.12674014534940647
4,4,1.6,50,T4,0.04325857085727934
4,4,1.6,50,V100,0.14074912158129493
4,4,1.6,75,M60,0.06399222252340762
4,4,1.6,75,K80,0.11393044118354279
4,4,1.6,75,T4,0.05970446949152161
4,4,1.6,75,V100,0.02625241704600718
4,4,1.6,100,M60,0.06374971324753448
4,4,1.6,100,K80,0.07932134039926081
4,4,1.6,100,T4,0.20276498005519816
4,4,1.6,100,V100,0.00223003815474153
4,4,2.4,50,M60,0.2368541894749379
4,4,2.4,50,K80,0.20567591676947067
4,4,2.4,50,T4,0.04425918872283433
4,4,2.4,50,V100,0.24419920132917897
4,4,2.4,75,M60,0.04179715568736449
4,4,2.4,75,K80,0.06680564002349669
4,4,2.4,75,T4,0.006158197295636775
4,4,2.4,75,V100,0.02451064320878717
4,4,2.4,100,M60,0.09282979009800209
4,4,2.4,100,K80,0.10947765798518694
4,4,2.4,100,T4,0.03700088338155277
4,4,2.4,100,V100,0.14718363668916876
4,5,0.8,50,M60,0.1319691437050297
4,5,0.8,50,K80,0.1283631222456793
4,5,0.8,50,T4,0.27883544626371404
4,5,0.8,50,V100,0.051546796942952604
4,5,0.8,75,M60,0.11651447170322256
4,5,0.8,75,K80,0.04328894688714403
4,5,0.8,75,T4,0.07254789707515621
4,5,0.8,75,V100,0.08671188152389792
4,5,0.8,100,M60,0.07932351397154268
4,5,0.8,100,K80,0.20127730801737492
4,5,0.8,100,T4,0.228358167699933
4,5,0.8,100,V100,0.11583616451569291
4,5,1.2,50,M60,0.28977918283933407
4,5,1.2,50,K80,0.14941242661385384
4,5,1.2,50,T4,0.27574297724114577
4,5,1.2,50,V100,0.2803706352493782
4,5,1.2,75,M60,0.18355421024426014
4,5,1.2,75,K80,0.28028889990065375
4,5,1.2,75,T4,0.11271051077161873
4,5,1.2,75,V100,0.13303629240196635
4,5,1.2,100,M60,0.120882511555961
4,5,1.2,100,K80,0.20962649394443847
4,5,1.2,100,T4,0.03408837007879922
4,5,1.2,100,V100,0.12341141719495244
4,5,1.6,50,M60,0.09139303843673414
4,5,1.6,50,K80,0.09827631378677036
4,5,1.6,50,T4,0.2688356129414929
4,5,1.6,50,V100,0.2733775227964099
4,5,1.6,75,M60,0.21348216980511833
4,5,1.6,75,K80,0.05311295880227645
4,5,1.6,75,T4,0.13642896969192617
4,5,1.6,75,V100,0.16869153083925578
4,5,1.6,100,M60,0.1040406665204849
4,5,1.6,100,K80,0.18381959212945265
4,5,1.6,100,T4,0.009936026365898543
4,5,1.6,100,V100,0.06554871516780147
4,5,2.4,50,M60,0.17505480887406083
4,5,2.4,50,K80,0.13211919474468423
4,5,2.4,50,T4,0.05649308633676005
4,5,2.4,50,V100,0.09265177494544853
4,5,2.4,75,M60,0.24420589382514146
4,5,2.4,75,K80,0.07775483786577217
4,5,2.4,75,T4,0.24396284654124464
4,5,2.4,75,V100,0.05030240707273414
4,5,2.4,100,M60,0.10391157775417403
4,5,2.4,100,K80,0.22139188062158976
4,5,2.4,100,T4,0.12872568266123194
4,5,2.4,100,V100,0.2632182373185261
8,1,0.8,50,M60,0.2576738271725218
8,1,0.8,50,K80,0.029474177973663723
8,1,0.8,50,T4,0.0867111016467862
8,1,0.8,50,V100,0.0696434121228224
8,1,0.8,75,M60,0.20902274788126685
8,1,0.8,75,K80,0.04289379625248487
8,1,0.8,75,T4,0.10768162764297923
