batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.0759789560222153
4,1,0.8,50,K80,0.13141132018685925
4,1,0.8,50,T4,0.19271746545414328
4,1,0.8,50,V100,0.06404819244225299
4,1,0.8,75,M60,0.19177912167120806
4,1,0.8,75,K80,0.26725426835026483
4,1,0.8,75,T4,0.23960472751158432
4,1,0.8,75,V100,0.17340131260175765
4,1,0.8,100,M60,0.2267992229619665
4,1,0.8,100,K80,0.029267531215485632
4,1,0.8,100,T4,0.04021779985327584
4,1,0.8,100,V100,0.1924281038671915
4,1,1.2,50,M60,0.2850672408481239
4,1,1.2,50,K80,0.17101084727521831
4,1,1.2,50,T4,0.1698956067223134
4,1,1.2,50,V100,0.2599789266040393
4,1,1.2,75,M60,0.13092788410247239
4,1,1.2,75,K80,0.2613659159377361
4,1,1.2,75,T4,0.22726348230681767
4,1,1.2,75,V100,0.20976645775006847
4,1,1.2,100,M60,0.14022313444799972
4,1,1.2,100,K80,0.25218041966993665
4,1,1.2,100,T4,0.16013701801786534
4,1,1.2,100,V100,0.030136606252145877
4,1,1.6,50,M60,0.07910576252485792
4,1,1.6,50,K80,0.013393780689752865
4,1,1.6,50,T4,0.20809959516998472
4,1,1.6,50,V100,0.034602781354944726
4,1,1.6,75,M60,0.14102558836158816
4,1,1.6,75,K80,0.21510153382514008
4,1,1.6,75,T4,0.12849870156208182
4,1,1.6,75,V100,0.18216085035811036
4,1,1.6,100,M60,0.28520507123186
4,1,1.6,100,K80,0.23627749101968934
4,1,1.6,100,T4,0.12344161340860772
4,1,1.6,100,V100,0.05148522060818798
4,1,2.4,50,M60,0.2230347542013846
4,1,2.4,50,K80,0.18381840245884415
4,1,2.4,50,T4,0.17581260797198156
4,1,2.4,50,V100,0.03290667703395093
4,1,2.4,75,M60,0.11840179360244205
4,1,2.4,75,K80,0.1286584201502489
4,1,2.4,75,T4,0.26502772780203687
4,1,2.4,75,V100,0.038542461584209826
4,1,2.4,100,M60,0.12018188716422147
4,1,2.4,100,K80,0.16362858720983398
4,1,2.4,100,T4,0.11166125804639676
4,1,2.4,100,V100,0.21128530607574011
4,2,0.8,50,M60,0.12624234841742127
4,2,0.8,50,K80,0.1442486660662507
4,2,0.8,50,T4,0.22304172648349635
4,2,0.8,50,V100,0.18356140827236522
4,2,0.8,75,M60,0.2554676204892475
4,2,0.8,75,K80,0.23033164888437918
4,2,0.8,75,T4,0.10360423608159387
4,2,0.8,75,V100,0.09297373885766995
4,2,0.8,100,M60,0.10889416515621818
4,2,0.8,100,K80,0.08908482784549966
4,2,0.8,100,T4,0.12737751861330515
4,2,0.8,100,V100,0.26680589450739634
4,2,1.2,50,M60,0.0797750519063272
4,2,1.2,50,K80,0.04391371968443318
4,2,1.2,50,T4,0.08708330613768493
4,2,1.2,50,V100,0.2823992897634051
4,2,1.2,75,M60,0.15196731281562295
4,2,1.2,75,K80,0.16851248596092178
4,2,1.2,75,T4,0.07525687231904225
4,2,1.2,75,V100,0.2016009912753413
4,2,1.2,100,M60,0.10568885375811862
4,2,1.2,100,K80,0.007006064507317199
4,2,1.2,100,T4,0.11152873811238177
4,2,1.2,100,V100,0.27194848027344937
4,2,1.6,50,M60,0.2067775380773377
4,2,1.6,50,K80,0.09566728251541246
4,2,1.6,50,T4,0.19890092140977944
4,2,1.6,50,V100,0.0629840540389043
4,2,1.6,75,M60,0.06734451878860509
4,2,1.6,75,K80,0.24463410548306844
4,2,1.6,75,T4,0.014387787622908085
4,2,1.6,75,V100,0.00870980621200968
4,2,1.6,100,M60,0.0966088625589288
4,2,1.6,100,K80,0.247400254386908
4,2,1.6,100,T4,0.07207484773295887
4,2,1.6,100,V100,0.08780421134303087
4,2,2.4,50,M60,0.19999758761677847
4,2,2.4,50,K80,0.11934666843742377
4,2,2.4,50,T4,0.14044030062388263
4,2,2.4,50,V100,0.18119652883246315
4,2,2.4,75,M60,0.13578055392536517
4,2,2.4,75,K80,0.23483074523299016
4,2,2.4,75,T4,0.1912631736153058
4,2,2.4,75,V100,0.13302413295202928
4,2,2.4,100,M60,0.22006647459362022
4,2,2.4,100,K80,0.17362095221037188
4,2,2.4,100,T4,0.03480371306060201
4,2,2.4,100,V100,0.21591621812437184
4,3,0.8,50,M60,0.023845300639022456
4,3,0.8,50,K80,0.24730013015936944
4,3,0.8,50,T4,0.26864839903677235
4,3,0.8,50,V100,0.204980227377832
4,3,0.8,75,M60,0.1836843348416835
4,3,0.8,75,K80,0.1912922770491984
4,3,0.8,75,T4,0.09658974636005957
