batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.10277804204885539
4,1,0.8,50,K80,0.021438497685733207
4,1,0.8,50,T4,0.002945457439086679
4,1,0.8,50,V100,0.23767361156980543
4,1,0.8,75,M60,0.27678199510300777
4,1,0.8,75,K80,0.07986223850348595
4,1,0.8,75,T4,0.10632047498285013
4,1,0.8,75,V100,0.07964775183713485
4,1,0.8,100,M60,0.2638392700565098
4,1,0.8,100,K80,0.07370159041502296
4,1,0.8,100,T4,0.18738600651677464
4,1,0.8,100,V100,0.17011652944173586
4,1,1.2,50,M60,0.012540270080788125
4,1,1.2,50,K80,0.19621521801458588
4,1,1.2,50,T4,0.02165265728488189
4,1,1.2,50,V100,0.21857932321417506
4,1,1.2,75,M60,0.18438885857633439
4,1,1.2,75,K80,0.1712603423742828
4,1,1.2,75,T4,0.2032451744238747
4,1,1.2,75,V100,0.16254443661752435
4,1,1.2,100,M60,0.05090776746805836
4,1,1.2,100,K80,0.0026391740562038
4,1,1.2,100,T4,0.17196232565131303
4,1,1.2,100,V100,0.2255627798640723
4,1,1.6,50,M60,0.11238721435411703
4,1,1.6,50,K80,0.25590933973887897
4,1,1.6,50,T4,0.0026288067450529217
4,1,1.6,50,V100,0.2404468023942336
4,1,1.6,75,M60,0.22363108284753086
4,1,1.6,75,K80,0.09755641293042708
4,1,1.6,75,T4,0.1495879375389476
4,1,1.6,75,V100,0.20106585778797997
4,1,1.6,100,M60,0.06709221511671414
4,1,1.6,100,K80,0.0681540860872976
4,1,1.6,100,T4,0.005304319133734356
4,1,1.6,100,V100,0.023145385306095893
4,1,2.4,50,M60,0.017949155976141374
4,1,2.4,50,K80,0.1765682392008717
4,1,2.4,50,T4,0.0020641451590240768
4,1,2.4,50,V100,0.21380688405211667
4,1,2.4,75,M60,0.24247544760672038
4,1,2.4,75,K80,0.004624823356834798
4,1,2.4,75,T4,0.1498463098576623
4,1,2.4,75,V100,0.15165633817103838
4,1,2.4,100,M60,0.26379532607976974
4,1,2.4,100,K80,0.2609328806991905
4,1,2.4,100,T4,0.2130648403597405
4,1,2.4,100,V100,0.28450503342908906
4,2,0.8,50,M60,0.1429816903721422
4,2,0.8,50,K80,0.07066518555315475
4,2,0.8,50,T4,0.2897232210339919
4,2,0.8,50,V100,0.08686476875957448
4,2,0.8,75,M60,0.2456956983099674
4,2,0.8,75,K80,0.07010767556129234
