batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.16615901022000465
4,1,0.8,50,K80,0.24521331505773922
4,1,0.8,50,T4,0.162984955306593
4,1,0.8,50,V100,0.20050829820187546
4,1,0.8,75,M60,0.09936835254007409
4,1,0.8,75,K80,0.282404858934995
4,1,0.8,75,T4,0.08593993014183705
4,1,0.8,75,V100,0.12293577838654884
4,1,0.8,100,M60,0.24540083534962936
4,1,0.8,100,K80,0.259158358160173
4,1,0.8,100,T4,0.13311890743142205
4,1,0.8,100,V100,0.034884523571043095
4,1,1.2,50,M60,0.07923082340668347
4,1,1.2,50,K80,0.021897613636893624
4,1,1.2,50,T4,0.15004924453869709
4,1,1.2,50,V100,0.0974208651712294
4,1,1.2,75,M60,0.08337293717764747
4,1,1.2,75,K80,0.008469957830185997
4,1,1.2,75,T4,0.2777934726554274
4,1,1.2,75,V100,0.09486377163432202
4,1,1.2,100,M60,0.23630534906946887
4,1,1.2,100,K80,0.09460837625578417
4,1,1.2,100,T4,0.02255546515796103
4,1,1.2,100,V100,0.24141383081269158
4,1,1.6,50,M60,0.059358116491247094
4,1,1.6,50,K80,0.0244126681143563
4,1,1.6,50,T4,0.1625451131747811
4,1,1.6,50,V100,0.027958715725865703
4,1,1.6,75,M60,0.09278178638285028
4,1,1.6,75,K80,0.2550803721548338
4,1,1.6,75,T4,0.10935272832335162
4,1,1.6,75,V100,0.24136344723759764
4,1,1.6,100,M60,0.25119294599034075
4,1,1.6,100,K80,0.04221749073003696
4,1,1.6,100,T4,0.1270106534037739
4,1,1.6,100,V100,0.21056131720422075
4,1,2.4,50,M60,0.1491880671493408
4,1,2.4,50,K80,0.2062930370468743
4,1,2.4,50,T4,0.21079874960062156
4,1,2.4,50,V100,0.12419483253715945
4,1,2.4,75,M60,0.13096420912624798
4,1,2.4,75,K80,0.22651181244292606
4,1,2.4,75,T4,0.1250180789511703
4,1,2.4,75,V100,0.2678328501788895
4,1,2.4,100,M60,0.06227262705729926
4,1,2.4,100,K80,0.2332550903119996
4,1,2.4,100,T4,0.18922416885724222
4,1,2.4,100,V100,0.07841761518170837
4,2,0.8,50,M60,0.06379347901995235
4,2,0.8,50,K80,0.0725996810761197
4,2,0.8,50,T4,0.1616197949688861
4,2,0.8,50,V100,0.08150464947164782
4,2,0.8,75,M60,0.16501083631447683
4,2,0.8,75,K80,0.012208472157019706
4,2,0.8,75,T4,0.09964618452802591
4,2,0.8,75,V100,0.17787401903386665
4,2,0.8,100,M60,0.029660204120175865
4,2,0.8,100,K80,0.28122833374276524
4,2,0.8,100,T4,0.07759640726827757
4,2,0.8,100,V100,0.2525012639609394
4,2,1.2,50,M60,0.06453972214499203
4,2,1.2,50,K80,0.2698874233177146
4,2,1.2,50,T4,0.11905576181742167
4,2,1.2,50,V100,0.08493197339504326
4,2,1.2,75,M60,0.030975294756573405
4,2,1.2,75,K80,0.2862312141439292
4,2,1.2,75,T4,0.27662538977831463
4,2,1.2,75,V100,0.2388864416965492
4,2,1.2,100,M60,0.23300854015952321
4,2,1.2,100,K80,0.2720158803859347
4,2,1.2,100,T4,0.2205827430088809
4,2,1.2,100,V100,0.11935660950145961
4,2,1.6,50,M60,0.04723382329393128
4,2,1.6,50,K80,0.24487235831680354
4,2,1.6,50,T4,0.08979404734333778
4,2,1.6,50,V100,0.12637413574023898
4,2,1.6,75,M60,0.012289752037235244
4,2,1.6,75,K80,0.15407419272921047
4,2,1.6,75,T4,0.24810639589306563
4,2,1.6,75,V100,0.16623672228500394
4,2,1.6,100,M60,0.20018119508452034
4,2,1.6,100,K80,0.08604904463093678
4,2,1.6,100,T4,0.09488482434634637
4,2,1.6,100,V100,0.13312702713615568
4,2,2.4,50,M60,0.14894603495770598
4,2,2.4,50,K80,0.24667776797902083
4,2,2.4,50,T4,0.16254092897523442
4,2,2.4,50,V100,0.15231026245949755
4,2,2.4,75,M60,0.27581820028510223
4,2,2.4,75,K80,0.06468852253422568
4,2,2.4,75,T4,0.13052803808858443
4,2,2.4,75,V100,0.16046121395268603
4,2,2.4,100,M60,0.05376344277181567
4,2,2.4,100,K80,0.02952891688272329
4,2,2.4,100,T4,0.09297075337722567
4,2,2.4,100,V100,0.275014747255207
4,3,0.8,50,M60,0.025319432240040077
4,3,0.8,50,K80,0.24124669018876552
4,3,0.8,50,T4,0.08300356195108097
4,3,0.8,50,V100,0.24213657103935407
4,3,0.8,75,M60,0.1701885565699978
4,3,0.8,75,K80,0.003940493524332559
4,3,0.8,75,T4,0.2342578296756259
4,3,0.8,75,V100,0.08690670529095307
4,3,0.8,100,M60,0.12940366917175145
4,3,0.8,100,K80,0.0019075452227654242
4,3,0.8,100,T4,0.16155178561235675
4,3,0.8,100,V100,0.2735861189540188
4,3,1.2,50,M60,0.19406573748628947
4,3,1.2,50,K80,0.0405306333462718
4,3,1.2,50,T4,0.03018890781018028
4,3,1.2,50,V100,0.048686542356267376
4,3,1.2,75,M60,0.0423769069380957
4,3,1.2,75,K80,0.17446904855931203
4,3,1.2,75,T4,0.1347365478585324
4,3,1.2,75,V100,0.16547457485828457
4,3,1.2,100,M60,0.14093855735030866
4,3,1.2,100,K80,0.15660560924353448
4,3,1.2,100,T4,0.13784643616144995
4,3,1.2,100,V100,0.06297560350965478
4,3,1.6,50,M60,0.16218240875421
4,3,1.6,50,K80,0.04263340973544499
4,3,1.6,50,T4,0.2272749725123778
4,3,1.6,50,V100,0.12150490217664409
4,3,1.6,75,M60,0.08793483942526634
4,3,1.6,75,K80,0.08083798450733987
4,3,1.6,75,T4,0.2588053258701778
4,3,1.6,75,V100,0.18181303756396336
4,3,1.6,100,M60,0.1341439074336793
4,3,1.6,100,K80,0.23893667555760262
4,3,1.6,100,T4,0.056209016026361545
4,3,1.6,100,V100,0.12377502312828385
4,3,2.4,50,M60,0.029146469348606926
4,3,2.4,50,K80,0.11945745678759588
4,3,2.4,50,T4,0.02185376150286211
4,3,2.4,50,V100,0.07028696466165638
4,3,2.4,75,M60,0.0625280423186182
4,3,2.4,75,K80,0.1161536123583826
4,3,2.4,75,T4,0.164305459767605
4,3,2.4,75,V100,0.05315330305555253
4,3,2.4,100,M60,0.09682954068379837
4,3,2.4,100,K80,0.11752925147830177
4,3,2.4,100,T4,0.025372256179532097
4,3,2.4,100,V100,0.03438159157375808
4,4,0.8,50,M60,0.11476615718349778
4,4,0.8,50,K80,0.04730017497017157
4,4,0.8,50,T4,0.05627394655769017
4,4,0.8,50,V100,0.05878603965209604
4,4,0.8,75,M60,0.16683143776931703
4,4,0.8,75,K80,0.25218444868150264
4,4,0.8,75,T4,0.24976372611770606
4,4,0.8,75,V100,0.062004415392232025
4,4,0.8,100,M60,0.1656930273336223
4,4,0.8,100,K80,0.07922844340707116
4,4,0.8,100,T4,0.13926917193636443
4,4,0.8,100,V100,0.10876909217270363
4,4,1.2,50,M60,0.057993991363440175
4,4,1.2,50,K80,0.05847103579846586
4,4,1.2,50,T4,0.1279945569126181
4,4,1.2,50,V100,0.10317994004717788
4,4,1.2,75,M60,0.04244280773603108
4,4,1.2,75,K80,0.2810256329969374
4,4,1.2,75,T4,0.12657604393105437
4,4,1.2,75,V100,0.21183502540815471
4,4,1.2,100,M60,0.004212341739602657
4,4,1.2,100,K80,0.12355118504197779
4,4,1.2,100,T4,0.12340898532264256
4,4,1.2,100,V100,0.28004098955498763
4,4,1.6,50,M60,0.17492830691489292
4,4,1.6,50,K80,0.2495134616176864
4,4,1.6,50,T4,0.05522994862625583
4,4,1.6,50,V100,0.08972820300793496
4,4,1.6,75,M60,0.04442798610642648
4,4,1.6,75,K80,0.1394976904841223
4,4,1.6,75,T4,0.10095255446458222
4,4,1.6,75,V100,0.2859432449757166
4,4,1.6,100,M60,0.1037293619816845
4,4,1.6,100,K80,0.10479289864240163
4,4,1.6,100,T4,0.05941451434890945
4,4,1.6,100,V100,0.15468516980686176
4,4,2.4,50,M60,0.000392636625435262
4,4,2.4,50,K80,0.22115834462758724
4,4,2.4,50,T4,0.22634621381761763
4,4,2.4,50,V100,0.2780426892970723
4,4,2.4,75,M60,0.08461927109923068
4,4,2.4,75,K80,0.23233322416013621
4,4,2.4,75,T4,0.28612309609642606
4,4,2.4,75,V100,0.27503968169163046
4,4,2.4,100,M60,0.223933315417868
4,4,2.4,100,K80,0.15577021788434647
4,4,2.4,100,T4,0.1663086098895752
4,4,2.4,100,V100,0.0046360469054858066
4,5,0.8,50,M60,0.027081322158571165
4,5,0.8,50,K80,0.23819775931274437
4,5,0.8,50,T4,0.1857754943959124
4,5,0.8,50,V100,0.24742334246125022
4,5,0.8,75,M60,0.24171017372722892
4,5,0.8,75,K80,0.27149612403744267
4,5,0.8,75,T4,0.16395861665383452
4,5,0.8,75,V100,0.05465880047738091
4,5,0.8,100,M60,0.19970094150296985
4,5,0.8,100,K80,0.2602784238014673
4,5,0.8,100,T4,0.15956874288939987
4,5,0.8,100,V100,0.13780865649547006
4,5,1.2,50,M60,0.18176981874063275
4,5,1.2,50,K80,0.1904124839325168
4,5,1.2,50,T4,0.08217009938327031
4,5,1.2,50,V100,0.05388005073145055
4,5,1.2,75,M60,0.19088066054620512
4,5,1.2,75,K80,0.039402727741136526
4,5,1.2,75,T4,0.21386628000134228
4,5,1.2,75,V100,0.05840647422836909
4,5,1.2,100,M60,0.16453225666169388
4,5,1.2,100,K80,0.2705875032874332
4,5,1.2,100,T4,0.0648183308001833
4,5,1.2,100,V100,0.2623509464950264
4,5,1.6,50,M60,0.24765690808816074
4,5,1.6,50,K80,0.20956273949108975
4,5,1.6,50,T4,0.18366426503581904
4,5,1.6,50,V100,0.17166748322830008
4,5,1.6,75,M60,0.005851747099361449
4,5,1.6,75,K80,0.09793492747567101
4,5,1.6,75,T4,0.11583594525006904
4,5,1.6,75,V100,0.016201883169722098
4,5,1.6,100,M60,0.25367442014506303
4,5,1.6,100,K80,0.03808280572762059
4,5,1.6,100,T4,0.09502558811820523
4,5,1.6,100,V100,0.2089264745734294
4,5,2.4,50,M60,0.032735335875316934
4,5,2.4,50,K80,0.016150016379833973
4,5,2.4,50,T4,0.07494984876538205
4,5,2.4,50,V100,0.16646991785912385
4,5,2.4,75,M60,0.06849480661745451
4,5,2.4,75,K80,0.0473330415523952
4,5,2.4,75,T4,0.07131974530301873
4,5,2.4,75,V100,0.24936231787242966
4,5,2.4,100,M60,0.2220205851172259
4,5,2.4,100,K80,0.12499252418791765
4,5,2.4,100,T4,0.18308018599245143
4,5,2.4,100,V100,0.03444297509653004
8,1,0.8,50,M60,0.2598218168885975
8,1,0.8,50,K80,0.21162880013292168
8,1,0.8,50,T4,0.15649142976753055
8,1,0.8,50,V100,0.28119789547261
8,1,0.8,75,M60,0.1337242613277691
8,1,0.8,75,K80,0.030521377203397284
8,1,0.8,75,T4,0.010990058639621287
8,1,0.8,75,V100,0.07438404182374517
8,1,0.8,100,M60,0.014113821226136273
8,1,0.8,100,K80,0.21887905673369493
8,1,0.8,100,T4,0.2469358093024726
8,1,0.8,100,V100,0.2706768329664223
8,1,1.2,50,M60,0.17456724287215888
8,1,1.2,50,K80,0.24973194948828503
8,1,1.2,50,T4,0.11375222123522437
8,1,1.2,50,V100,0.17352656910321843
8,1,1.2,75,M60,0.15451652926722667
8,1,1.2,75,K80,0.24746802823789785
8,1,1.2,75,T4,0.09569611335211302
8,1,1.2,75,V100,0.15356640814517863
8,1,1.2,100,M60,0.015526157854992319
8,1,1.2,100,K80,0.17766279212877167
8,1,1.2,100,T4,0.1710222054619981
8,1,1.2,100,V100,0.16839402223837757
8,1,1.6,50,M60,0.23573550586553094
8,1,1.6,50,K80,0.050466466981817865
8,1,1.6,50,T4,0.039752368240041525
8,1,1.6,50,V100,0.05077450651269803
8,1,1.6,75,M60,0.22034065564419067
8,1,1.6,75,K80,0.11408307409616991
8,1,1.6,75,T4,0.20091362257028647
8,1,1.6,75,V100,0.02863764173095907
8,1,1.6,100,M60,0.20836318733044848
8,1,1.6,100,K80,0.10061963648910083
8,1,1.6,100,T4,0.2560417897944144
8,1,1.6,100,V100,0.0554505307171453
8,1,2.4,50,M60,0.17634921137739437
8,1,2.4,50,K80,0.07524449107771784
8,1,2.4,50,T4,0.10210929611090261
8,1,2.4,50,V100,0.2021871572401135
8,1,2.4,75,M60,0.1677298623253795
8,1,2.4,75,K80,0.20726109033737222
8,1,2.4,75,T4,0.029028984919921213
8,1,2.4,75,V100,0.2635978651438553
8,1,2.4,100,M60,0.1368430550389149
8,1,2.4,100,K80,0.16094910303822474
8,1,2.4,100,T4,0.26029501435668523
8,1,2.4,100,V100,0.14497709021093136
8,2,0.8,50,M60,0.13153075805357817
8,2,0.8,50,K80,0.07373737845880313
8,2,0.8,50,T4,0.19855587251457749
8,2,0.8,50,V100,0.2755201528009623
8,2,0.8,75,M60,0.046818050681360496
8,2,0.8,75,K80,0.24892888375838726
8,2,0.8,75,T4,0.27518082396444765
8,2,0.8,75,V100,0.05282145008842215
8,2,0.8,100,M60,0.09975727098808719
8,2,0.8,100,K80,0.22816556028587642
8,2,0.8,100,T4,0.10549995149715585
8,2,0.8,100,V100,0.1396768174579684
8,2,1.2,50,M60,0.24984809848141712
8,2,1.2,50,K80,0.19974868490232262
8,2,1.2,50,T4,0.2410425085630255
8,2,1.2,50,V100,0.09224536479280618
8,2,1.2,75,M60,0.1443936024484668
8,2,1.2,75,K80,0.13673519990920155
8,2,1.2,75,T4,0.15638170251336247
8,2,1.2,75,V100,0.256792125431045
8,2,1.2,100,M60,0.26520039902702314
8,2,1.2,100,K80,0.2528711311740813
8,2,1.2,100,T4,0.20304513424026463
8,2,1.2,100,V100,0.04972350110160523
8,2,1.6,50,M60,0.17938088761891255
8,2,1.6,50,K80,0.12466713017429823
8,2,1.6,50,T4,0.09254982389601207
8,2,1.6,50,V100,0.09002229594296443
8,2,1.6,75,M60,0.033787690672083835
8,2,1.6,75,K80,0.06551299178922232
8,2,1.6,75,T4,0.12735492311971344
8,2,1.6,75,V100,0.25533445408635513
8,2,1.6,100,M60,0.09406073054421119
8,2,1.6,100,K80,0.13611434658587582
8,2,1.6,100,T4,0.06608355673928488
8,2,1.6,100,V100,0.17622596361287415
