batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.038086606438125774
4,1,0.8,50,K80,0.04387306306446386
4,1,0.8,50,T4,0.2754254436586519
4,1,0.8,50,V100,0.09091508007068032
4,1,0.8,75,M60,0.17098940104540358
4,1,0.8,75,K80,0.06510556882325412
4,1,0.8,75,T4,0.13515061333051856
4,1,0.8,75,V100,0.25569916350383354
4,1,0.8,100,M60,0.06139802295318042
4,1,0.8,100,K80,0.07133454333239085
4,1,0.8,100,T4,0.11131891594049312
4,1,0.8,100,V100,0.05397160509991493
4,1,1.2,50,M60,0.2323441986242631
4,1,1.2,50,K80,0.19633102914539471
4,1,1.2,50,T4,0.183350907030858
4,1,1.2,50,V100,0.126413386849315
4,1,1.2,75,M60,0.23561952550344373
4,1,1.2,75,K80,0.24170420635541048
4,1,1.2,75,T4,0.031822813361987314
4,1,1.2,75,V100,0.12980643805047393
4,1,1.2,100,M60,0.2258277513618894
4,1,1.2,100,K80,0.2536108870453636
4,1,1.2,100,T4,0.028584438420575033
4,1,1.2,100,V100,0.09749332185775232
4,1,1.6,50,M60,0.07969991812358618
4,1,1.6,50,K80,0.04037173708003581
4,1,1.6,50,T4,0.27516767692770333
4,1,1.6,50,V100,0.26271427311558204
4,1,1.6,75,M60,0.10472640267892434
4,1,1.6,75,K80,0.009043353883656858
4,1,1.6,75,T4,0.01962751045795774
4,1,1.6,75,V100,0.17834280228973537
4,1,1.6,100,M60,0.1641995754000988
4,1,1.6,100,K80,0.012177183142346585
4,1,1.6,100,T4,0.18871171540911175
4,1,1.6,100,V100,0.25500736771604793
4,1,2.4,50,M60,0.027285642309560407
4,1,2.4,50,K80,0.21379525563936125
4,1,2.4,50,T4,0.13262017555215488
4,1,2.4,50,V100,0.04581640816837435
4,1,2.4,75,M60,0.0749850177764635
4,1,2.4,75,K80,0.06454500579818095
4,1,2.4,75,T4,0.2845432191344146
4,1,2.4,75,V100,0.2875875510640523
4,1,2.4,100,M60,0.19948955536390872
4,1,2.4,100,K80,0.19669115715427965
4,1,2.4,100,T4,0.2109679340219973
4,1,2.4,100,V100,0.2252732738751894
4,2,0.8,50,M60,0.0694357257086599
4,2,0.8,50,K80,0.1996181671016428
4,2,0.8,50,T4,0.23438094147675662
4,2,0.8,50,V100,0.2510242027654094
4,2,0.8,75,M60,0.2264226685192845
4,2,0.8,75,K80,0.23613314423726767
4,2,0.8,75,T4,0.26977914584561724
4,2,0.8,75,V100,0.24236441247574683
4,2,0.8,100,M60,0.17658959668436053
4,2,0.8,100,K80,0.05829149703249613
4,2,0.8,100,T4,0.045712790276330004
4,2,0.8,100,V100,0.1469734858457743
4,2,1.2,50,M60,0.0831974425416968
4,2,1.2,50,K80,0.28135304249343046
4,2,1.2,50,T4,0.10719213740641709
4,2,1.2,50,V100,0.22486912814853352
4,2,1.2,75,M60,0.1705761463160417
4,2,1.2,75,K80,0.22495829023040512
4,2,1.2,75,T4,0.02528459414575869
4,2,1.2,75,V100,0.08959404588255737
4,2,1.2,100,M60,0.01621861460821632
4,2,1.2,100,K80,0.06117105818415671
4,2,1.2,100,T4,0.08833708568290527
4,2,1.2,100,V100,0.015502004611235496
4,2,1.6,50,M60,0.24956491623872698
4,2,1.6,50,K80,0.03989745873507598
4,2,1.6,50,T4,0.03664523776513893
4,2,1.6,50,V100,0.14221007263434693
4,2,1.6,75,M60,0.28552293888600355
4,2,1.6,75,K80,0.11380752696717904
4,2,1.6,75,T4,0.2890243010148606
4,2,1.6,75,V100,0.272178445969092
4,2,1.6,100,M60,0.025560837752525052
4,2,1.6,100,K80,0.18829697600472808
4,2,1.6,100,T4,0.05443389442859863
4,2,1.6,100,V100,0.2554599230162357
4,2,2.4,50,M60,0.04344450282404017
4,2,2.4,50,K80,0.16700910026787621
4,2,2.4,50,T4,0.04197929295601083
4,2,2.4,50,V100,0.19380422426770955
4,2,2.4,75,M60,0.1400253518596174
4,2,2.4,75,K80,0.013813846705005874
4,2,2.4,75,T4,0.0982676398765085
4,2,2.4,75,V100,0.12387348282710627
4,2,2.4,100,M60,0.007207382759697768
4,2,2.4,100,K80,0.13040886087449657
4,2,2.4,100,T4,0.15844655016657028
4,2,2.4,100,V100,0.11288091949723639
4,3,0.8,50,M60,0.09864493812507638
4,3,0.8,50,K80,0.14453092022966174
4,3,0.8,50,T4,0.19706103550270787
4,3,0.8,50,V100,0.036089177264921835
4,3,0.8,75,M60,0.23886517971143303
4,3,0.8,75,K80,0.09466589564828086
4,3,0.8,75,T4,0.17372236439057592
4,3,0.8,75,V100,0.2348931350827443
4,3,0.8,100,M60,0.010909929724418555
4,3,0.8,100,K80,0.1860945332818294
4,3,0.8,100,T4,0.2353330036597796
4,3,0.8,100,V100,0.03680491933810264
4,3,1.2,50,M60,0.13032622133925303
4,3,1.2,50,K80,0.10377509747365814
4,3,1.2,50,T4,0.030814002721930144
4,3,1.2,50,V100,0.20280634922360097
4,3,1.2,75,M60,0.03488584658236877
4,3,1.2,75,K80,0.0830958265395257
4,3,1.2,75,T4,0.16268391945890823
4,3,1.2,75,V100,0.23199214863331774
4,3,1.2,100,M60,0.08122929497326757
4,3,1.2,100,K80,0.09905685556467685
4,3,1.2,100,T4,0.2394391099750426
4,3,1.2,100,V100,0.14599903416804794
4,3,1.6,50,M60,0.21770124787286463
4,3,1.6,50,K80,0.25040115805310204
4,3,1.6,50,T4,0.2203945765658834
4,3,1.6,50,V100,0.12460531055071675
4,3,1.6,75,M60,0.23628365817418753
4,3,1.6,75,K80,0.014105227388762406
4,3,1.6,75,T4,0.05340450787302708
4,3,1.6,75,V100,0.0033633523518452743
4,3,1.6,100,M60,0.04554919250849987
4,3,1.6,100,K80,0.1820266551222701
4,3,1.6,100,T4,0.23130341636572158
4,3,1.6,100,V100,0.18287312428788458
4,3,2.4,50,M60,0.17037086708126814
4,3,2.4,50,K80,0.08030267948219362
4,3,2.4,50,T4,0.15645799674526545
4,3,2.4,50,V100,0.1561861131401576
4,3,2.4,75,M60,0.24233804255778182
4,3,2.4,75,K80,0.06302274375400968
4,3,2.4,75,T4,0.15754272383992887
4,3,2.4,75,V100,0.1529128600295777
4,3,2.4,100,M60,0.04430762578672271
4,3,2.4,100,K80,0.06390253329099588
4,3,2.4,100,T4,0.19911662000741756
4,3,2.4,100,V100,0.18734940092394284
4,4,0.8,50,M60,0.028447514866092975
4,4,0.8,50,K80,0.15262899781513356
4,4,0.8,50,T4,0.19005711535991385
4,4,0.8,50,V100,0.21185912351459302
4,4,0.8,75,M60,0.24252617088512587
4,4,0.8,75,K80,0.13447214811425812
4,4,0.8,75,T4,0.12073371739497717
4,4,0.8,75,V100,0.14772137058091975
4,4,0.8,100,M60,0.18146037892731282
4,4,0.8,100,K80,0.2784192597550236
4,4,0.8,100,T4,0.12264436082052418
4,4,0.8,100,V100,0.025256307670704792
4,4,1.2,50,M60,0.16156291317626112
4,4,1.2,50,K80,0.14951218226095156
4,4,1.2,50,T4,0.03488941077306465
4,4,1.2,50,V100,0.28348191560122105
4,4,1.2,75,M60,0.08777331943012762
4,4,1.2,75,K80,0.05108586156124504
4,4,1.2,75,T4,0.194435724196377
4,4,1.2,75,V100,0.252997598083801
4,4,1.2,100,M60,0.23611979514206968
4,4,1.2,100,K80,0.05285892093347347
4,4,1.2,100,T4,0.1583733507089749
4,4,1.2,100,V100,0.20079021798930832
4,4,1.6,50,M60,0.2878762727281453
4,4,1.6,50,K80,0.029864489145082582
4,4,1.6,50,T4,0.05727360162290162
4,4,1.6,50,V100,0.1237702056304308
4,4,1.6,75,M60,0.20382337083232488
4,4,1.6,75,K80,0.22126382766056957
4,4,1.6,75,T4,0.01872798697311359
4,4,1.6,75,V100,0.24249028165007788
4,4,1.6,100,M60,0.1303001154911758
4,4,1.6,100,K80,0.270209817628908
4,4,1.6,100,T4,0.15871122975727064
4,4,1.6,100,V100,0.19223461397843336
4,4,2.4,50,M60,0.19185541147329382
4,4,2.4,50,K80,0.1468591203653095
4,4,2.4,50,T4,0.09290807740596735
4,4,2.4,50,V100,0.1090677413822913
4,4,2.4,75,M60,0.18047113388482985
4,4,2.4,75,K80,0.1384279264280914
4,4,2.4,75,T4,0.015647247812525855
4,4,2.4,75,V100,0.22491871939889227
4,4,2.4,100,M60,0.2492534913589154
4,4,2.4,100,K80,0.17717751468278076
4,4,2.4,100,T4,0.18565889002437055
4,4,2.4,100,V100,0.2110110199570214
4,5,0.8,50,M60,0.23045259390645678
4,5,0.8,50,K80,0.033040556499978474
4,5,0.8,50,T4,0.24318643619232086
4,5,0.8,50,V100,0.17784890449226984
4,5,0.8,75,M60,0.15187255025322177
4,5,0.8,75,K80,0.2780892063398329
4,5,0.8,75,T4,0.12160695795998419
4,5,0.8,75,V100,0.18493053497502984
4,5,0.8,100,M60,0.1261402739076055
4,5,0.8,100,K80,0.11751250411743015
4,5,0.8,100,T4,0.04543708921496362
4,5,0.8,100,V100,0.052713555315644416
4,5,1.2,50,M60,0.2631026321415096
4,5,1.2,50,K80,0.21635462632567531
4,5,1.2,50,T4,0.238058293931817
4,5,1.2,50,V100,0.10496463445180114
4,5,1.2,75,M60,0.09194303186853016
4,5,1.2,75,K80,0.12341933399592893
4,5,1.2,75,T4,0.046104473344174036
4,5,1.2,75,V100,0.20593223901867466
4,5,1.2,100,M60,0.15970976591377609
4,5,1.2,100,K80,0.046544142481264865
4,5,1.2,100,T4,0.08578152236454256
4,5,1.2,100,V100,0.040828336935673164
4,5,1.6,50,M60,0.2183318351114543
4,5,1.6,50,K80,0.09126920962414417
4,5,1.6,50,T4,0.25136034584120165
4,5,1.6,50,V100,0.07920302259525168
4,5,1.6,75,M60,0.03603565138381093
4,5,1.6,75,K80,0.24552999356563368
4,5,1.6,75,T4,0.16569549545967052
4,5,1.6,75,V100,0.04741616740686787
4,5,1.6,100,M60,0.23900105734300958
