batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.272354073805902
4,1,0.8,50,K80,0.2114234499113964
4,1,0.8,50,T4,0.09611786896357993
4,1,0.8,50,V100,0.03217809052606793
4,1,0.8,75,M60,0.00650063277867399
4,1,0.8,75,K80,0.22471028677906635
4,1,0.8,75,T4,0.23417743822378037
4,1,0.8,75,V100,0.09601607443594751
4,1,0.8,100,M60,0.09768010816202648
4,1,0.8,100,K80,0.1321387714522404
4,1,0.8,100,T4,0.26156545285913285
4,1,0.8,100,V100,0.06741835536394075
4,1,1.2,50,M60,0.2502630137059868
4,1,1.2,50,K80,0.0705878248509652
4,1,1.2,50,T4,0.03602244339299071
4,1,1.2,50,V100,0.0317076135956624
4,1,1.2,75,M60,0.28001326987141856
4,1,1.2,75,K80,0.19037481542033147
4,1,1.2,75,T4,0.014935149911587715
4,1,1.2,75,V100,0.25995589701089566
4,1,1.2,100,M60,0.22125452258383588
4,1,1.2,100,K80,0.21243799992274706
4,1,1.2,100,T4,0.0929547676474585
4,1,1.2,100,V100,0.003380564260201063
4,1,1.6,50,M60,0.16739192707087439
4,1,1.6,50,K80,0.01719771449252855
4,1,1.6,50,T4,0.15506072317290057
4,1,1.6,50,V100,0.05177767781757603
4,1,1.6,75,M60,0.26360881583727164
4,1,1.6,75,K80,0.07352296979009587
4,1,1.6,75,T4,0.02446697332084578
4,1,1.6,75,V100,0.1353134543078081
4,1,1.6,100,M60,0.2584538964574858
4,1,1.6,100,K80,0.029127366344028852
4,1,1.6,100,T4,0.0790204329055394
4,1,1.6,100,V100,0.07104059129742703
4,1,2.4,50,M60,0.14603051175659185
4,1,2.4,50,K80,0.04316272235256427
4,1,2.4,50,T4,0.03845469211688928
4,1,2.4,50,V100,0.1880153388583835
4,1,2.4,75,M60,0.09487765317974556
4,1,2.4,75,K80,0.16492937952643832
4,1,2.4,75,T4,0.20489974813132905
4,1,2.4,75,V100,0.10183173432656405
4,1,2.4,100,M60,0.24565400036204002
4,1,2.4,100,K80,0.03168590661137026
4,1,2.4,100,T4,0.07124421222700611
4,1,2.4,100,V100,0.1187804326941885
4,2,0.8,50,M60,0.08049068292309992
4,2,0.8,50,K80,0.1359823134497609
4,2,0.8,50,T4,0.027298208655903145
4,2,0.8,50,V100,0.19265771356189088
4,2,0.8,75,M60,0.19880787811343478
4,2,0.8,75,K80,0.2755763289216449
4,2,0.8,75,T4,0.27150382520455074
4,2,0.8,75,V100,0.10918618666157927
4,2,0.8,100,M60,0.2556079694310362
4,2,0.8,100,K80,0.14922380207822722
4,2,0.8,100,T4,0.18924215331261499
4,2,0.8,100,V100,0.0743030531129642
4,2,1.2,50,M60,0.02981874842785617
4,2,1.2,50,K80,0.03753954541944198
4,2,1.2,50,T4,0.19175996743588086
4,2,1.2,50,V100,0.07988531845500585
4,2,1.2,75,M60,0.15079787677470163
4,2,1.2,75,K80,0.15453848349874694
4,2,1.2,75,T4,0.14096828889928123
4,2,1.2,75,V100,0.22340944081307038
4,2,1.2,100,M60,0.193491881565148
4,2,1.2,100,K80,0.09654468575564265
4,2,1.2,100,T4,0.2821452489337678
