batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.04238174281295296
4,1,0.8,50,K80,0.1183662225831055
4,1,0.8,50,T4,0.20989133933074747
4,1,0.8,50,V100,0.11759811767860398
4,1,0.8,75,M60,0.09513301639277416
4,1,0.8,75,K80,0.09827404508231646
4,1,0.8,75,T4,0.010879407638587203
4,1,0.8,75,V100,0.2607010715633065
4,1,0.8,100,M60,0.19630028802480273
4,1,0.8,100,K80,0.1463716600610561
4,1,0.8,100,T4,0.2657142142788282
4,1,0.8,100,V100,0.28381588746710695
4,1,1.2,50,M60,0.04215501793019337
4,1,1.2,50,K80,0.16971004041006066
4,1,1.2,50,T4,0.09788287368206341
4,1,1.2,50,V100,0.02526672729876427
4,1,1.2,75,M60,0.1415557342479266
4,1,1.2,75,K80,0.009381999041464549
4,1,1.2,75,T4,0.21143433297915115
4,1,1.2,75,V100,0.11570186412329003
4,1,1.2,100,M60,0.24773031665701695
4,1,1.2,100,K80,0.15692264889119079
4,1,1.2,100,T4,0.27921480751545014
4,1,1.2,100,V100,0.14683763449383427
4,1,1.6,50,M60,0.06388145936799298
4,1,1.6,50,K80,0.11226010232751411
4,1,1.6,50,T4,0.2680055174518506
4,1,1.6,50,V100,0.1229484305902579
4,1,1.6,75,M60,0.2126344903951878
4,1,1.6,75,K80,0.06255403194836137
4,1,1.6,75,T4,0.2685171240979105
4,1,1.6,75,V100,0.0079072302640416
4,1,1.6,100,M60,0.15481625501643512
4,1,1.6,100,K80,0.26832154244032597
4,1,1.6,100,T4,0.08994156963395185
4,1,1.6,100,V100,0.16051947754992824
4,1,2.4,50,M60,0.10450207034608477
4,1,2.4,50,K80,0.13269005249301521
4,1,2.4,50,T4,0.08153086737482598
4,1,2.4,50,V100,0.10998923960731843
4,1,2.4,75,M60,0.06874003503783899
4,1,2.4,75,K80,0.15788003862406078
4,1,2.4,75,T4,0.18006237786501744
4,1,2.4,75,V100,0.14260493052960174
4,1,2.4,100,M60,0.012794589688695675
4,1,2.4,100,K80,0.20640568001935194
4,1,2.4,100,T4,0.24858882112808559
4,1,2.4,100,V100,0.177311211998594
4,2,0.8,50,M60,0.22908379238457355
4,2,0.8,50,K80,0.0028589341522237063
4,2,0.8,50,T4,0.152568823495753
4,2,0.8,50,V100,0.19063156874971152
4,2,0.8,75,M60,0.07845834803173803
4,2,0.8,75,K80,0.09530979352741316
4,2,0.8,75,T4,0.2885425632220794
4,2,0.8,75,V100,0.21956288116004483
4,2,0.8,100,M60,0.09172651507430625
4,2,0.8,100,K80,0.14196597064403316
4,2,0.8,100,T4,0.07720194211829301
4,2,0.8,100,V100,0.2842947088355901
4,2,1.2,50,M60,0.11657847273292027
4,2,1.2,50,K80,0.06104634795110469
4,2,1.2,50,T4,0.04678799170611294
4,2,1.2,50,V100,0.05579702122795288
4,2,1.2,75,M60,0.1891756106168263
4,2,1.2,75,K80,0.19155412867076332
4,2,1.2,75,T4,0.1432072391680024
4,2,1.2,75,V100,0.1566252145498626
4,2,1.2,100,M60,0.1315457437516364
4,2,1.2,100,K80,0.03742685123295973
4,2,1.2,100,T4,0.00719999988912556
4,2,1.2,100,V100,0.029610652671803007
4,2,1.6,50,M60,0.09303961197052775
4,2,1.6,50,K80,0.2536863207477619
4,2,1.6,50,T4,0.1768196992306072
4,2,1.6,50,V100,0.26819352473499847
4,2,1.6,75,M60,0.08532972585272874
4,2,1.6,75,K80,0.11383032015826933
4,2,1.6,75,T4,0.25463279556276136
4,2,1.6,75,V100,0.25770524269335565
4,2,1.6,100,M60,0.06769482278284725
4,2,1.6,100,K80,0.008396436286550362
4,2,1.6,100,T4,0.020543707294710372
4,2,1.6,100,V100,0.018846147172716998
4,2,2.4,50,M60,0.022090235532238038
4,2,2.4,50,K80,0.08406529941035056
4,2,2.4,50,T4,0.2855405861182965
4,2,2.4,50,V100,0.2750867010869898
4,2,2.4,75,M60,0.20084262394365582
4,2,2.4,75,K80,0.0008494373096593709
4,2,2.4,75,T4,0.1277076677087806
4,2,2.4,75,V100,0.09537451433109298
4,2,2.4,100,M60,0.24471390810354693
4,2,2.4,100,K80,0.05827210980825769
4,2,2.4,100,T4,0.04307193464824191
4,2,2.4,100,V100,0.005961643650433905
4,3,0.8,50,M60,0.13867041675124372
4,3,0.8,50,K80,0.2684420477176214
4,3,0.8,50,T4,0.12546632063155658
4,3,0.8,50,V100,0.23697148299215662
4,3,0.8,75,M60,0.11312440180765049
4,3,0.8,75,K80,0.2855669026799712
4,3,0.8,75,T4,0.0775467401751267
4,3,0.8,75,V100,0.19212838030118196
4,3,0.8,100,M60,0.010195949809329054
4,3,0.8,100,K80,0.1718710547837986
4,3,0.8,100,T4,0.131210379946493
4,3,0.8,100,V100,0.14224308475231143
4,3,1.2,50,M60,0.2881044810855071
4,3,1.2,50,K80,0.001665945958105589
4,3,1.2,50,T4,0.013342713856548189
4,3,1.2,50,V100,0.17303376991268507
4,3,1.2,75,M60,0.04129203027481364
4,3,1.2,75,K80,0.21436260337470975
4,3,1.2,75,T4,0.1376300725394077
4,3,1.2,75,V100,0.2790577435778153
4,3,1.2,100,M60,0.11216864342578188
4,3,1.2,100,K80,0.02125140837045661
4,3,1.2,100,T4,0.27263150160233024
4,3,1.2,100,V100,0.020714164352161432
4,3,1.6,50,M60,0.24699230934006228
4,3,1.6,50,K80,0.006894846075586375
4,3,1.6,50,T4,0.07043437737665838
4,3,1.6,50,V100,0.2198039726984345
4,3,1.6,75,M60,0.02830453207286057
4,3,1.6,75,K80,0.26840859969892705
4,3,1.6,75,T4,0.03063257303210543
4,3,1.6,75,V100,0.28611551211484365
4,3,1.6,100,M60,0.16270802485926095
4,3,1.6,100,K80,0.19306313305604408
4,3,1.6,100,T4,0.0046817312178546264
4,3,1.6,100,V100,0.2128593345907425
4,3,2.4,50,M60,0.27444345845210105
4,3,2.4,50,K80,0.2592229921931648
4,3,2.4,50,T4,0.13984643277311323
4,3,2.4,50,V100,0.15732267118431367
4,3,2.4,75,M60,0.10251384009247522
4,3,2.4,75,K80,0.17154449912903003
4,3,2.4,75,T4,0.1839222167913392
4,3,2.4,75,V100,0.2563539031147427
4,3,2.4,100,M60,0.23518876750850495
4,3,2.4,100,K80,0.11805935682175189
4,3,2.4,100,T4,0.08421248394094867
4,3,2.4,100,V100,0.07595358652802603
4,4,0.8,50,M60,0.1968919655219542
4,4,0.8,50,K80,0.11414606227259569
4,4,0.8,50,T4,0.2298227662640273
4,4,0.8,50,V100,0.11201930092138955
4,4,0.8,75,M60,0.08267746084261886
4,4,0.8,75,K80,0.2747291403650919
4,4,0.8,75,T4,0.05883576633223956
4,4,0.8,75,V100,0.044219880133898715
4,4,0.8,100,M60,0.09589601832343819
4,4,0.8,100,K80,0.11680714094656193
4,4,0.8,100,T4,0.07858027923397919
4,4,0.8,100,V100,0.12280123976959123
4,4,1.2,50,M60,0.002187052544860779
