batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.10832536263718899
4,1,0.8,50,K80,0.1537955963240817
4,1,0.8,50,T4,0.1730558890801466
4,1,0.8,50,V100,0.07831379542990675
4,1,0.8,75,M60,0.01106635525144706
4,1,0.8,75,K80,0.08724844968880441
4,1,0.8,75,T4,0.2387816985072274
4,1,0.8,75,V100,0.19233901565823133
4,1,0.8,100,M60,0.28112598659381693
4,1,0.8,100,K80,0.2827073156332235
4,1,0.8,100,T4,0.2855442538049456
4,1,0.8,100,V100,0.11677533527350717
4,1,1.2,50,M60,0.2780562161746074
4,1,1.2,50,K80,0.007437101570462769
4,1,1.2,50,T4,0.2222363289390204
4,1,1.2,50,V100,0.12697378585647978
4,1,1.2,75,M60,0.14407312780942558
4,1,1.2,75,K80,0.040697130353007684
4,1,1.2,75,T4,0.018425042803566678
4,1,1.2,75,V100,0.21055735645550328
4,1,1.2,100,M60,0.0018638546474526473
4,1,1.2,100,K80,0.025549296341340646
4,1,1.2,100,T4,0.06207979095233935
4,1,1.2,100,V100,0.26460032869481387
4,1,1.6,50,M60,0.1373028841860975
4,1,1.6,50,K80,0.2187277839549467
4,1,1.6,50,T4,0.05620521375029221
4,1,1.6,50,V100,0.015909079385432734
4,1,1.6,75,M60,0.09847104088060886
4,1,1.6,75,K80,0.18453478762761072
4,1,1.6,75,T4,0.04384103246402032
4,1,1.6,75,V100,0.1492011626362969
4,1,1.6,100,M60,0.2655084489728404
4,1,1.6,100,K80,0.27275420923886556
4,1,1.6,100,T4,0.06150628798972518
4,1,1.6,100,V100,0.18744030794061145
4,1,2.4,50,M60,0.1608957189005976
4,1,2.4,50,K80,0.13657414003963858
4,1,2.4,50,T4,0.14909334034843333
4,1,2.4,50,V100,0.11785626655879662
4,1,2.4,75,M60,0.1018479429671557
4,1,2.4,75,K80,0.28572347173045215
4,1,2.4,75,T4,0.0984226579998698
4,1,2.4,75,V100,0.06739047177360581
4,1,2.4,100,M60,0.1094471031368995
4,1,2.4,100,K80,0.1445381394099258
4,1,2.4,100,T4,0.1487875539442008
4,1,2.4,100,V100,0.03379434597590528
4,2,0.8,50,M60,0.15144877231475942
4,2,0.8,50,K80,0.2738985240221282
4,2,0.8,50,T4,0.19744543387224978
4,2,0.8,50,V100,0.13366700956621536
4,2,0.8,75,M60,0.009407587613265093
4,2,0.8,75,K80,0.2410620057901579
4,2,0.8,75,T4,0.020840048660918337
4,2,0.8,75,V100,0.14179832394251196
4,2,0.8,100,M60,0.13572903510989584
4,2,0.8,100,K80,0.008015306159118447
4,2,0.8,100,T4,0.007148568420518478
4,2,0.8,100,V100,0.27614120115656726
4,2,1.2,50,M60,0.19225126090502784
4,2,1.2,50,K80,0.11348456373031234
4,2,1.2,50,T4,0.22026766667048314
4,2,1.2,50,V100,0.04992217894373589
4,2,1.2,75,M60,0.21844736436052156
4,2,1.2,75,K80,0.02696929902157424
4,2,1.2,75,T4,0.13921927033764825
4,2,1.2,75,V100,0.18732902360240136
4,2,1.2,100,M60,0.12673936472820554
4,2,1.2,100,K80,0.04100584912248079
4,2,1.2,100,T4,0.013627327599289654
4,2,1.2,100,V100,0.1351383143820732
4,2,1.6,50,M60,0.20384202489611558
4,2,1.6,50,K80,0.16558969094279546
4,2,1.6,50,T4,0.0812796323236141
4,2,1.6,50,V100,0.28244589680442433
4,2,1.6,75,M60,0.101487978478951
4,2,1.6,75,K80,0.04048273934009623
4,2,1.6,75,T4,0.20444346910434885
4,2,1.6,75,V100,0.17413456407475764
4,2,1.6,100,M60,0.14710954639301488
4,2,1.6,100,K80,0.06059426895416854
4,2,1.6,100,T4,0.13571796348545692
4,2,1.6,100,V100,0.05047457550900575
4,2,2.4,50,M60,0.024463309144452747
4,2,2.4,50,K80,0.15422631127000935
4,2,2.4,50,T4,0.14624566395450764
4,2,2.4,50,V100,0.20193230124726894
4,2,2.4,75,M60,0.11002502390747494
4,2,2.4,75,K80,0.13226354105432783
4,2,2.4,75,T4,0.05989552218031174
4,2,2.4,75,V100,0.12069309957667641
4,2,2.4,100,M60,0.14696382944574723
4,2,2.4,100,K80,0.042072707089980815
4,2,2.4,100,T4,0.08910794755226423
4,2,2.4,100,V100,0.1961591449274595
4,3,0.8,50,M60,0.24767333927809593
4,3,0.8,50,K80,0.16231682742507794
4,3,0.8,50,T4,0.09746607044470369
4,3,0.8,50,V100,0.15352123223515893
4,3,0.8,75,M60,0.10553289504463098
4,3,0.8,75,K80,0.09333355037807518
4,3,0.8,75,T4,0.1260842707629911
4,3,0.8,75,V100,0.013587137265787341
4,3,0.8,100,M60,0.21740118857488094
4,3,0.8,100,K80,0.1393432736570514
4,3,0.8,100,T4,0.11157781727893537
4,3,0.8,100,V100,0.2605283942288827
4,3,1.2,50,M60,0.017663003951087563
4,3,1.2,50,K80,0.01441183209521345
4,3,1.2,50,T4,0.015098512842809839
4,3,1.2,50,V100,0.12355953084442893
4,3,1.2,75,M60,0.21851793890751212
