batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.17590627887521804
4,1,0.8,50,K80,0.21199253634295817
4,1,0.8,50,T4,0.14741084385990041
4,1,0.8,50,V100,0.22539546021672474
4,1,0.8,75,M60,0.10265305209028235
4,1,0.8,75,K80,0.05587928175271307
4,1,0.8,75,T4,0.1711255536019507
4,1,0.8,75,V100,0.027601080230440108
4,1,0.8,100,M60,0.09120573608585988
4,1,0.8,100,K80,0.1456860735702527
4,1,0.8,100,T4,0.22070560894177835
4,1,0.8,100,V100,0.11039283219564296
4,1,1.2,50,M60,0.2761052116018048
4,1,1.2,50,K80,0.20468959978926213
4,1,1.2,50,T4,0.24419372127540162
4,1,1.2,50,V100,0.28303841625673337
4,1,1.2,75,M60,0.10111580056685132
4,1,1.2,75,K80,0.2818881399325445
4,1,1.2,75,T4,0.11720236910443231
4,1,1.2,75,V100,0.12423060451166563
4,1,1.2,100,M60,0.2081394205239378
4,1,1.2,100,K80,0.15407059510872842
4,1,1.2,100,T4,0.15463846552553892
4,1,1.2,100,V100,0.22665440131422945
4,1,1.6,50,M60,0.21187892110153184
4,1,1.6,50,K80,0.18786930200180268
4,1,1.6,50,T4,0.024065175798904794
4,1,1.6,50,V100,0.13794597101599163
4,1,1.6,75,M60,0.28410749734734475
4,1,1.6,75,K80,0.18661381631585924
4,1,1.6,75,T4,0.2868639845253133
4,1,1.6,75,V100,0.039269306854398
4,1,1.6,100,M60,0.008995586655014284
4,1,1.6,100,K80,0.20817437455121682
4,1,1.6,100,T4,0.07130603951909442
4,1,1.6,100,V100,0.2804138119269469
4,1,2.4,50,M60,0.2069779818864788
4,1,2.4,50,K80,0.14058782757996743
4,1,2.4,50,T4,0.21751929954415922
4,1,2.4,50,V100,0.1083419373820539
4,1,2.4,75,M60,0.18771707321159978
4,1,2.4,75,K80,0.03393854929370393
4,1,2.4,75,T4,0.1271800010553163
4,1,2.4,75,V100,0.12663099180154005
4,1,2.4,100,M60,0.18198930450318204
4,1,2.4,100,K80,0.2532642247902939
4,1,2.4,100,T4,0.16444052941777504
4,1,2.4,100,V100,0.28351185002774243
4,2,0.8,50,M60,0.13167973890462825
4,2,0.8,50,K80,0.19719157976887483
4,2,0.8,50,T4,0.2735697629513778
4,2,0.8,50,V100,0.09314681700065472
4,2,0.8,75,M60,0.18652192337657916
4,2,0.8,75,K80,0.10951594443131979
4,2,0.8,75,T4,0.13302742550447091
4,2,0.8,75,V100,0.2874593435726885
4,2,0.8,100,M60,0.20481261588140398
4,2,0.8,100,K80,0.03652027217637072
4,2,0.8,100,T4,0.15257312752380128
4,2,0.8,100,V100,0.1733222732896364
4,2,1.2,50,M60,0.204356244949902
4,2,1.2,50,K80,0.20858572096682135
4,2,1.2,50,T4,0.16241594971423348
4,2,1.2,50,V100,0.2488355868810761
4,2,1.2,75,M60,0.12878291478823164
4,2,1.2,75,K80,0.049664659555709804
4,2,1.2,75,T4,0.14630978492026323
4,2,1.2,75,V100,0.23016831778916289
4,2,1.2,100,M60,0.10084713512732814
4,2,1.2,100,K80,0.11205354023154084
4,2,1.2,100,T4,0.02980558643108152
4,2,1.2,100,V100,0.2498546028401495
4,2,1.6,50,M60,0.20773160573425337
4,2,1.6,50,K80,0.07782719682310676
4,2,1.6,50,T4,0.23559462322421781
4,2,1.6,50,V100,0.03388183546638944
4,2,1.6,75,M60,0.18344444822845965
4,2,1.6,75,K80,0.28389302491545537
4,2,1.6,75,T4,0.2296356072923018
4,2,1.6,75,V100,0.06289998626408218
4,2,1.6,100,M60,0.20948237375531886
4,2,1.6,100,K80,0.06925712446338789
4,2,1.6,100,T4,0.14367816445740234
4,2,1.6,100,V100,0.2165260458044252
4,2,2.4,50,M60,0.08974394704163939
4,2,2.4,50,K80,0.1767797661936959
4,2,2.4,50,T4,0.2623954307355128
4,2,2.4,50,V100,0.2773297631582885
4,2,2.4,75,M60,0.22358077191856923
4,2,2.4,75,K80,0.26524415085212105
4,2,2.4,75,T4,0.13418085871920699
4,2,2.4,75,V100,0.2175011323955207
4,2,2.4,100,M60,0.14576292589489734
4,2,2.4,100,K80,0.1345711396257779
4,2,2.4,100,T4,0.26377631305039845
4,2,2.4,100,V100,0.2250291333319048
4,3,0.8,50,M60,0.14000877444443197
4,3,0.8,50,K80,0.26820067164888484
4,3,0.8,50,T4,0.07501831799123389
4,3,0.8,50,V100,0.1767790431729877
