batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.17458795415111764
4,1,0.8,50,K80,0.15488741371794615
4,1,0.8,50,T4,0.26994166636040745
4,1,0.8,50,V100,0.12383687346613324
4,1,0.8,75,M60,0.26567253650827266
4,1,0.8,75,K80,0.186370196885076
4,1,0.8,75,T4,0.16598955282047068
4,1,0.8,75,V100,0.23341704739791075
4,1,0.8,100,M60,0.060613236252327736
4,1,0.8,100,K80,0.1695551175864487
4,1,0.8,100,T4,0.2319131620698063
4,1,0.8,100,V100,0.08806124990044677
4,1,1.2,50,M60,0.010403051301192083
4,1,1.2,50,K80,0.2378058933749157
4,1,1.2,50,T4,0.18272624939547738
4,1,1.2,50,V100,0.13078307388961943
4,1,1.2,75,M60,0.2532008932971021
4,1,1.2,75,K80,0.1668882978362669
4,1,1.2,75,T4,0.11784323191581629
4,1,1.2,75,V100,0.12591320149499824
4,1,1.2,100,M60,0.2604386531915517
4,1,1.2,100,K80,0.16408136442645452
4,1,1.2,100,T4,0.03783928511476809
4,1,1.2,100,V100,0.24504329123703547
4,1,1.6,50,M60,0.08733176399003237
4,1,1.6,50,K80,0.11525899070491065
4,1,1.6,50,T4,0.04420735149139849
4,1,1.6,50,V100,0.21743105082541947
4,1,1.6,75,M60,0.1570810211992708
4,1,1.6,75,K80,0.24320441160507128
4,1,1.6,75,T4,0.07088893170833598
4,1,1.6,75,V100,0.05586598103549422
4,1,1.6,100,M60,0.1818567161830354
4,1,1.6,100,K80,0.16760320108038068
4,1,1.6,100,T4,0.08825181699605757
4,1,1.6,100,V100,0.0434427967493361
4,1,2.4,50,M60,0.08520488586210462
4,1,2.4,50,K80,0.08632113793166014
4,1,2.4,50,T4,0.0018661370822618394
4,1,2.4,50,V100,0.06318107945815366
4,1,2.4,75,M60,0.13851226965532024
4,1,2.4,75,K80,0.08985215791818991
4,1,2.4,75,T4,0.2560200547981881
4,1,2.4,75,V100,0.25949970287934754
4,1,2.4,100,M60,0.13649100361011346
4,1,2.4,100,K80,0.18061750060462206
4,1,2.4,100,T4,0.17509075983204994
4,1,2.4,100,V100,0.045929680954978805
4,2,0.8,50,M60,0.2381918985819417
4,2,0.8,50,K80,0.23117233722114205
4,2,0.8,50,T4,0.06069430506799884
4,2,0.8,50,V100,0.22225067665714687
4,2,0.8,75,M60,0.1295990364468596
4,2,0.8,75,K80,0.11896628150414705
4,2,0.8,75,T4,0.1670481207448578
4,2,0.8,75,V100,0.07818302765420072
4,2,0.8,100,M60,0.14562399301687978
4,2,0.8,100,K80,0.09944387609464081
4,2,0.8,100,T4,0.27543070560617794
4,2,0.8,100,V100,0.2741507551112099
4,2,1.2,50,M60,0.0009628675598040081
4,2,1.2,50,K80,0.0701018441107282
4,2,1.2,50,T4,0.26920669150140164
4,2,1.2,50,V100,0.1843660048830976
4,2,1.2,75,M60,0.012780573532060083
4,2,1.2,75,K80,0.1321996901286734
4,2,1.2,75,T4,0.13737994987102783
4,2,1.2,75,V100,0.2227890124973963
4,2,1.2,100,M60,0.09112064787364206
4,2,1.2,100,K80,0.052138496269859586
4,2,1.2,100,T4,0.12468435969102779
4,2,1.2,100,V100,0.2867922438547613
4,2,1.6,50,M60,0.24995133655425766
4,2,1.6,50,K80,0.12067095196837567
4,2,1.6,50,T4,0.04188137101740722
4,2,1.6,50,V100,0.02810460399581568
4,2,1.6,75,M60,0.19060242190061333
4,2,1.6,75,K80,0.195199506609061
4,2,1.6,75,T4,0.11816267960205816
4,2,1.6,75,V100,0.20056863501350905
4,2,1.6,100,M60,0.22362434956809366
4,2,1.6,100,K80,0.2069739002363243
4,2,1.6,100,T4,0.182720182151815
4,2,1.6,100,V100,0.20748820789527467
4,2,2.4,50,M60,0.01357758046583782
4,2,2.4,50,K80,0.2623990673750111
4,2,2.4,50,T4,0.23409978687781738
4,2,2.4,50,V100,0.07528387905879667
4,2,2.4,75,M60,0.18268397177881834
4,2,2.4,75,K80,0.1960123610043187
4,2,2.4,75,T4,0.26313548996046215
4,2,2.4,75,V100,0.15490589388495837
4,2,2.4,100,M60,0.24137665454663682
4,2,2.4,100,K80,0.1773724701137515
4,2,2.4,100,T4,0.1176983590240351
4,2,2.4,100,V100,0.06485965308078427
4,3,0.8,50,M60,0.17496902012746485
4,3,0.8,50,K80,0.28818120423746807
4,3,0.8,50,T4,0.07252106813948726
4,3,0.8,50,V100,0.05207916491897555
4,3,0.8,75,M60,0.2730423434448041
4,3,0.8,75,K80,0.23243762615776523
4,3,0.8,75,T4,0.18161985697935587
4,3,0.8,75,V100,0.08680312219356988
4,3,0.8,100,M60,0.09520244143313673
4,3,0.8,100,K80,0.10033800276036585
4,3,0.8,100,T4,0.1295888110536939
4,3,0.8,100,V100,0.280891043689202
4,3,1.2,50,M60,0.08680860652323695
4,3,1.2,50,K80,0.18981290059883293
4,3,1.2,50,T4,0.12171690395931721
4,3,1.2,50,V100,0.03233977099031932
4,3,1.2,75,M60,0.28581154352535865
4,3,1.2,75,K80,0.1525702327931211
4,3,1.2,75,T4,0.23412068863951385
4,3,1.2,75,V100,0.2868220325430316
4,3,1.2,100,M60,0.03970614251108609
4,3,1.2,100,K80,0.2458967112686505
4,3,1.2,100,T4,0.2219332647749291
4,3,1.2,100,V100,0.12111155447194703
