batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.011667077886361019
4,1,0.8,50,K80,0.1298656222409892
4,1,0.8,50,T4,0.09812163661419475
4,1,0.8,50,V100,0.04955529014245663
4,1,0.8,75,M60,0.22789499764671728
4,1,0.8,75,K80,0.03782711675981333
4,1,0.8,75,T4,0.017809561461904704
4,1,0.8,75,V100,0.27533423289946335
4,1,0.8,100,M60,0.19797160174048042
4,1,0.8,100,K80,0.16263085058097448
4,1,0.8,100,T4,0.1934391781060279
4,1,0.8,100,V100,0.1552983670110679
4,1,1.2,50,M60,0.1303862655081339
4,1,1.2,50,K80,0.09523074782717036
4,1,1.2,50,T4,0.25168176373358975
4,1,1.2,50,V100,0.042753622304658526
4,1,1.2,75,M60,0.25757309173853743
4,1,1.2,75,K80,0.24164571712105487
4,1,1.2,75,T4,0.2266392056233347
4,1,1.2,75,V100,0.27203875345523626
4,1,1.2,100,M60,0.2880112404699758
4,1,1.2,100,K80,0.21871447516540618
4,1,1.2,100,T4,0.04357767990403561
4,1,1.2,100,V100,0.20164904436337572
4,1,1.6,50,M60,0.21604658337345092
4,1,1.6,50,K80,0.026795053646110477
4,1,1.6,50,T4,0.06492362253259898
4,1,1.6,50,V100,0.10184423844005043
4,1,1.6,75,M60,0.28408718470304434
4,1,1.6,75,K80,0.16840694648584575
4,1,1.6,75,T4,0.28823266701917605
4,1,1.6,75,V100,0.010382590824988451
4,1,1.6,100,M60,0.08827072660915021
4,1,1.6,100,K80,0.14324265790386925
4,1,1.6,100,T4,0.09387942914777375
4,1,1.6,100,V100,0.26778327218050324
4,1,2.4,50,M60,0.05762570806965371
4,1,2.4,50,K80,0.16126183258393006
4,1,2.4,50,T4,0.1508367017404331
4,1,2.4,50,V100,0.27775386231185967
4,1,2.4,75,M60,0.05894914595485089
4,1,2.4,75,K80,0.10385946075592437
4,1,2.4,75,T4,0.059769338406334055
4,1,2.4,75,V100,0.18643033323265912
4,1,2.4,100,M60,0.04269580603108432
4,1,2.4,100,K80,0.26664074110033575
4,1,2.4,100,T4,0.2673514807098777
4,1,2.4,100,V100,0.05792328353583656
4,2,0.8,50,M60,0.03519922221888827
4,2,0.8,50,K80,0.2679551895054894
4,2,0.8,50,T4,0.18941942850283783
4,2,0.8,50,V100,0.2722410194288486
4,2,0.8,75,M60,0.20866825848537457
4,2,0.8,75,K80,0.12636824863869484
4,2,0.8,75,T4,0.07177600566620382
4,2,0.8,75,V100,0.18655094508658762
4,2,0.8,100,M60,0.2507011219897556
4,2,0.8,100,K80,0.1879444916658518
4,2,0.8,100,T4,0.000492818948527075
4,2,0.8,100,V100,0.18217661938535412
4,2,1.2,50,M60,0.13302632473250714
4,2,1.2,50,K80,0.16659386099335044
4,2,1.2,50,T4,0.22560687682886038
4,2,1.2,50,V100,0.19354898057376638
4,2,1.2,75,M60,0.18089848029412892
4,2,1.2,75,K80,0.2346836146932108
4,2,1.2,75,T4,0.2641151253793281
4,2,1.2,75,V100,0.05392802278654383
4,2,1.2,100,M60,0.2159013385653547
4,2,1.2,100,K80,0.23845094071834544
4,2,1.2,100,T4,0.23031804547795814
4,2,1.2,100,V100,0.1835769306681632
4,2,1.6,50,M60,0.07557162132700797
4,2,1.6,50,K80,0.01687248253413053
4,2,1.6,50,T4,0.09603044013824666
4,2,1.6,50,V100,0.1594020473071351
4,2,1.6,75,M60,0.24612200062671846
4,2,1.6,75,K80,0.21642480677161863
4,2,1.6,75,T4,0.1139801317775065
4,2,1.6,75,V100,0.15446465722777583
4,2,1.6,100,M60,0.09184516221169274
4,2,1.6,100,K80,0.2508750415963743
4,2,1.6,100,T4,0.2126699233382311
4,2,1.6,100,V100,0.12871835986881358
4,2,2.4,50,M60,0.1649846227385992
4,2,2.4,50,K80,0.09799521889403415
4,2,2.4,50,T4,0.013697973770948908
4,2,2.4,50,V100,0.26872546362808925
4,2,2.4,75,M60,0.1735362025737865
4,2,2.4,75,K80,0.027817148403904503
4,2,2.4,75,T4,0.06356928070460399
4,2,2.4,75,V100,0.25741915968491896
4,2,2.4,100,M60,0.2562945416721596
4,2,2.4,100,K80,0.13866730727677024
4,2,2.4,100,T4,0.02289900726195094
4,2,2.4,100,V100,0.2397426164713695
4,3,0.8,50,M60,0.04655829554931126
4,3,0.8,50,K80,0.04395724635982697
4,3,0.8,50,T4,0.04860263554451231
4,3,0.8,50,V100,0.03258955637530535
4,3,0.8,75,M60,0.1740320630321556
4,3,0.8,75,K80,0.15715593264697336
4,3,0.8,75,T4,0.1928328757720376
4,3,0.8,75,V100,0.019260873682474536
4,3,0.8,100,M60,0.20038369071143447
4,3,0.8,100,K80,0.11759994227631039
4,3,0.8,100,T4,0.20769219840221068
4,3,0.8,100,V100,0.07145675762952439
4,3,1.2,50,M60,0.14352040393093815
4,3,1.2,50,K80,0.01950962440975538
4,3,1.2,50,T4,0.11544170893709264
4,3,1.2,50,V100,0.13764831978289602
4,3,1.2,75,M60,0.005830658513740206
4,3,1.2,75,K80,0.08050646252492694
4,3,1.2,75,T4,0.07411045383779175
4,3,1.2,75,V100,0.1523010244238668
4,3,1.2,100,M60,0.06317972786699202
4,3,1.2,100,K80,0.018527759943597663
4,3,1.2,100,T4,0.0692538402226943
4,3,1.2,100,V100,0.1554889815250271
4,3,1.6,50,M60,0.06459483149789852
4,3,1.6,50,K80,0.14660931332666452
4,3,1.6,50,T4,0.21083650290927794
4,3,1.6,50,V100,0.27180917779255137
4,3,1.6,75,M60,0.07430353078342905
4,3,1.6,75,K80,0.2692238663854877
4,3,1.6,75,T4,0.0956606820886069
4,3,1.6,75,V100,0.2646668466309761
4,3,1.6,100,M60,0.028736217839462667
4,3,1.6,100,K80,0.1672325189452933
4,3,1.6,100,T4,0.09520393498359624
4,3,1.6,100,V100,0.17526710780322785
4,3,2.4,50,M60,0.15722667398310633
4,3,2.4,50,K80,0.24064104530153832
4,3,2.4,50,T4,0.09002704233254237
4,3,2.4,50,V100,0.15919739108665606
4,3,2.4,75,M60,0.22055851521496156
4,3,2.4,75,K80,0.19437586549501207
4,3,2.4,75,T4,0.2553810510488867
4,3,2.4,75,V100,0.2247714032410402
4,3,2.4,100,M60,0.18876145322856427
4,3,2.4,100,K80,0.06589599836356867
4,3,2.4,100,T4,0.08955526006274106
4,3,2.4,100,V100,0.2784104800698824
4,4,0.8,50,M60,0.1367206765491341
4,4,0.8,50,K80,0.1234857950047544
4,4,0.8,50,T4,0.23201402939488397
4,4,0.8,50,V100,0.03323154190390607
4,4,0.8,75,M60,0.16252942597052902
4,4,0.8,75,K80,0.18304511001084972
4,4,0.8,75,T4,0.1594051518673944
4,4,0.8,75,V100,0.03228740010447386
4,4,0.8,100,M60,0.14897197701275977
4,4,0.8,100,K80,0.05006526820709706
4,4,0.8,100,T4,0.09710994765260161
4,4,0.8,100,V100,0.019478629950460284
4,4,1.2,50,M60,0.19923166892910188
4,4,1.2,50,K80,0.1749076696406539
4,4,1.2,50,T4,0.26664333138156016
4,4,1.2,50,V100,0.21171830993865873
4,4,1.2,75,M60,0.012669031322552182
4,4,1.2,75,K80,0.23333304854234554
4,4,1.2,75,T4,0.031211786495392538
4,4,1.2,75,V100,0.1630200060648533
4,4,1.2,100,M60,0.18929986298032128
4,4,1.2,100,K80,0.0823175655615043
4,4,1.2,100,T4,0.11853025508304879
4,4,1.2,100,V100,0.0490818350815166
4,4,1.6,50,M60,0.1540885506808399
4,4,1.6,50,K80,0.24795065470755742
4,4,1.6,50,T4,0.28342913718632684
4,4,1.6,50,V100,0.13325193225755627
4,4,1.6,75,M60,0.06369918901007714
4,4,1.6,75,K80,0.08302415379104906
4,4,1.6,75,T4,0.0715047294291613
4,4,1.6,75,V100,0.08968353317947993
4,4,1.6,100,M60,0.0006448468263273465
4,4,1.6,100,K80,0.07614367703964683
4,4,1.6,100,T4,0.20847800138977177
4,4,1.6,100,V100,0.2824568757870629
4,4,2.4,50,M60,0.07288031089745704
4,4,2.4,50,K80,0.25031554775129966
4,4,2.4,50,T4,0.05046934647591844
4,4,2.4,50,V100,0.1961119577962489
4,4,2.4,75,M60,0.2760004246953962
4,4,2.4,75,K80,0.27226120829609857
4,4,2.4,75,T4,0.1906208572316741
4,4,2.4,75,V100,0.2552755691774378
4,4,2.4,100,M60,0.2148417156696993
4,4,2.4,100,K80,0.14963430443407066
4,4,2.4,100,T4,0.0482550918825001
4,4,2.4,100,V100,0.09708772906684497
4,5,0.8,50,M60,0.2585547073270591
4,5,0.8,50,K80,0.2185964167499476
4,5,0.8,50,T4,0.1835071005517872
4,5,0.8,50,V100,0.08426604723776489
4,5,0.8,75,M60,0.12216646127534156
4,5,0.8,75,K80,0.01563985216473746
4,5,0.8,75,T4,0.1194504358618128
4,5,0.8,75,V100,0.21404055048128992
4,5,0.8,100,M60,0.044657269067256505
4,5,0.8,100,K80,0.13944300382726393
4,5,0.8,100,T4,0.17440169193945543
4,5,0.8,100,V100,0.27857967579744836
4,5,1.2,50,M60,0.2623711857357838
4,5,1.2,50,K80,0.1262138438780967
4,5,1.2,50,T4,0.1196095036964777
4,5,1.2,50,V100,0.14179173970130673
4,5,1.2,75,M60,0.12780456670187745
4,5,1.2,75,K80,0.2821708987842866
4,5,1.2,75,T4,0.11447469141514248
4,5,1.2,75,V100,0.10768516187096815
4,5,1.2,100,M60,0.15778195106935586
4,5,1.2,100,K80,0.030225233523819697
4,5,1.2,100,T4,0.1980934596385528
4,5,1.2,100,V100,0.23427404354560014
4,5,1.6,50,M60,0.14542460628910034
4,5,1.6,50,K80,0.19103001057104732
4,5,1.6,50,T4,0.029545318845929838
4,5,1.6,50,V100,0.11625753255698411
4,5,1.6,75,M60,0.2766444486604656
4,5,1.6,75,K80,0.2729716019995323
4,5,1.6,75,T4,0.11795088313103148
4,5,1.6,75,V100,0.19185888105143492
4,5,1.6,100,M60,0.19512413094707842
4,5,1.6,100,K80,0.26381253933819626
4,5,1.6,100,T4,0.27726428648739576
4,5,1.6,100,V100,0.003830803729328993
4,5,2.4,50,M60,0.017112020637214266
4,5,2.4,50,K80,0.17569238483277713
4,5,2.4,50,T4,0.11135099362951313
4,5,2.4,50,V100,0.23872345218579513
4,5,2.4,75,M60,0.03452290283131956
4,5,2.4,75,K80,0.2271885106574185
4,5,2.4,75,T4,0.021670584401841456
4,5,2.4,75,V100,0.07372696876210667
4,5,2.4,100,M60,0.15726395866570492
4,5,2.4,100,K80,0.013595531859087972
4,5,2.4,100,T4,0.20976240667923615
4,5,2.4,100,V100,0.09496422684739553
8,1,0.8,50,M60,0.15592807531598052
8,1,0.8,50,K80,0.24674637460394064
8,1,0.8,50,T4,0.17447032708243557
8,1,0.8,50,V100,0.11215459820446705
8,1,0.8,75,M60,0.05969472802157591
8,1,0.8,75,K80,0.25830375521449367
8,1,0.8,75,T4,0.060726698557791996
8,1,0.8,75,V100,0.07092860161193354
8,1,0.8,100,M60,0.2148124741597719
8,1,0.8,100,K80,0.2601353489675356
8,1,0.8,100,T4,0.03239873116316583
8,1,0.8,100,V100,0.23813428885372248
8,1,1.2,50,M60,0.2081761596614395
8,1,1.2,50,K80,0.1202443551383814
8,1,1.2,50,T4,0.28418414671797937
8,1,1.2,50,V100,0.1555555682330237
8,1,1.2,75,M60,0.09504069948443421
8,1,1.2,75,K80,0.06745159691642619
8,1,1.2,75,T4,0.10834590223038489
8,1,1.2,75,V100,0.07651344599521731
8,1,1.2,100,M60,0.21039994012251745
8,1,1.2,100,K80,0.22423763411632544
8,1,1.2,100,T4,0.2187505792232317
8,1,1.2,100,V100,0.27800172427494413
8,1,1.6,50,M60,0.11022532529215902
8,1,1.6,50,K80,0.0021200113850555658
8,1,1.6,50,T4,0.2699167939525398
8,1,1.6,50,V100,0.031162483202809593
8,1,1.6,75,M60,0.027353815267805098
8,1,1.6,75,K80,0.18130416041767838
8,1,1.6,75,T4,0.04210909270834691
8,1,1.6,75,V100,0.09322786981371135
8,1,1.6,100,M60,0.10321002964008359
8,1,1.6,100,K80,0.25255139668939813
8,1,1.6,100,T4,0.08791703911385583
8,1,1.6,100,V100,0.052590958891673256
8,1,2.4,50,M60,0.14271255739458857
8,1,2.4,50,K80,0.07140046737736204
8,1,2.4,50,T4,0.2745361025986955
8,1,2.4,50,V100,0.12753397645059383
8,1,2.4,75,M60,0.03111112637188207
8,1,2.4,75,K80,0.06448108810942155
8,1,2.4,75,T4,0.029910049373072418
8,1,2.4,75,V100,0.13708463947975227
8,1,2.4,100,M60,0.13794458777939117
8,1,2.4,100,K80,0.2027309207927317
8,1,2.4,100,T4,0.08781930470499923
8,1,2.4,100,V100,0.0395679714758
8,2,0.8,50,M60,0.17600094162383295
8,2,0.8,50,K80,0.1528992418340245
