batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.2632415342437994
4,1,0.8,50,K80,0.1320560761770373
4,1,0.8,50,T4,0.20434016722362527
4,1,0.8,50,V100,0.1197521801200944
4,1,0.8,75,M60,0.25185130451193155
4,1,0.8,75,K80,0.16320604946627576
4,1,0.8,75,T4,0.26051100249443376
4,1,0.8,75,V100,0.21707508508718637
4,1,0.8,100,M60,0.10246591517978615
4,1,0.8,100,K80,0.1876195600531259
4,1,0.8,100,T4,0.18437010530092998
4,1,0.8,100,V100,0.1600273156237312
4,1,1.2,50,M60,0.2065385450833851
4,1,1.2,50,K80,0.16843897041675127
4,1,1.2,50,T4,0.24626879330584328
4,1,1.2,50,V100,0.029932198624313084
4,1,1.2,75,M60,0.04958023002570777
4,1,1.2,75,K80,0.26767913326119375
4,1,1.2,75,T4,0.10697227826790652
4,1,1.2,75,V100,0.274764804325499
4,1,1.2,100,M60,0.059260742490892415
4,1,1.2,100,K80,0.13548431920095902
4,1,1.2,100,T4,0.02983337513128873
4,1,1.2,100,V100,0.11926802239095699
4,1,1.6,50,M60,0.09066108069237451
4,1,1.6,50,K80,0.284671961899216
4,1,1.6,50,T4,0.2736565928125007
4,1,1.6,50,V100,0.2732262263765522
4,1,1.6,75,M60,0.011899565484736455
4,1,1.6,75,K80,0.1626181890642398
4,1,1.6,75,T4,0.06767984046123487
4,1,1.6,75,V100,0.2076418381650626
4,1,1.6,100,M60,0.09912758428098409
4,1,1.6,100,K80,0.06337960824002471
4,1,1.6,100,T4,0.16126300258796322
4,1,1.6,100,V100,0.026037887265908544
4,1,2.4,50,M60,0.009952048176638705
4,1,2.4,50,K80,0.17609158918688764
4,1,2.4,50,T4,0.22830127628602484
4,1,2.4,50,V100,0.11711847642846437
4,1,2.4,75,M60,0.04738448068446554
4,1,2.4,75,K80,0.1345386243318703
4,1,2.4,75,T4,0.11894022347847259
4,1,2.4,75,V100,0.156892346881629
4,1,2.4,100,M60,0.01477438030712508
4,1,2.4,100,K80,0.18020981491007576
4,1,2.4,100,T4,0.27178131709133113
4,1,2.4,100,V100,0.26443218926612155
4,2,0.8,50,M60,0.23055879849822586
4,2,0.8,50,K80,0.023587525079025996
4,2,0.8,50,T4,0.2839022533630348
4,2,0.8,50,V100,0.13671681316567147
4,2,0.8,75,M60,0.17165191025890394
4,2,0.8,75,K80,0.07873378021458688
4,2,0.8,75,T4,0.00924011891381272
4,2,0.8,75,V100,0.23339117760938077
4,2,0.8,100,M60,0.00017182230119461625
4,2,0.8,100,K80,0.0662130156611612
4,2,0.8,100,T4,0.19226715219255872
4,2,0.8,100,V100,0.21304926450017092
4,2,1.2,50,M60,0.1580767928451479
4,2,1.2,50,K80,0.21116699781962503
4,2,1.2,50,T4,0.13770256108834086
4,2,1.2,50,V100,0.28762015855094375
4,2,1.2,75,M60,0.08008248030125399
4,2,1.2,75,K80,0.2738335006665804
4,2,1.2,75,T4,0.12160183049921762
4,2,1.2,75,V100,0.24668263125473097
4,2,1.2,100,M60,0.041866421640955984
4,2,1.2,100,K80,0.010846580011663408
4,2,1.2,100,T4,0.03141645004853383
4,2,1.2,100,V100,0.2846574346159612
4,2,1.6,50,M60,0.010822939933428737
4,2,1.6,50,K80,0.03230638024456514
4,2,1.6,50,T4,0.07993951297299816
4,2,1.6,50,V100,0.05360930192480863
4,2,1.6,75,M60,0.055446475257418616
4,2,1.6,75,K80,0.25368367007609216
4,2,1.6,75,T4,0.03515018155661184
4,2,1.6,75,V100,0.026971883447370962
4,2,1.6,100,M60,0.061781452997544534
4,2,1.6,100,K80,0.12144300341201171
4,2,1.6,100,T4,0.26677938785173677
4,2,1.6,100,V100,0.09110614649081826
4,2,2.4,50,M60,0.15179508180571233
4,2,2.4,50,K80,0.24090480545971002
4,2,2.4,50,T4,0.1589720794786755
4,2,2.4,50,V100,0.09253709993949291
4,2,2.4,75,M60,0.17007638659851626
4,2,2.4,75,K80,0.28024863122458304
4,2,2.4,75,T4,0.06588614272015811
4,2,2.4,75,V100,0.11143077245428375
4,2,2.4,100,M60,0.18565788486679238
4,2,2.4,100,K80,0.039763058612637674
4,2,2.4,100,T4,0.025625949217650712
4,2,2.4,100,V100,0.13021118256488073
4,3,0.8,50,M60,0.12484124768585884
4,3,0.8,50,K80,0.2892085069499952
4,3,0.8,50,T4,0.11073212784452467
4,3,0.8,50,V100,0.2721990520192102
4,3,0.8,75,M60,0.12742793271968803
4,3,0.8,75,K80,0.18550632098198505
4,3,0.8,75,T4,0.0021265155530264244
4,3,0.8,75,V100,0.2335628543427091
4,3,0.8,100,M60,0.11197796251407167
4,3,0.8,100,K80,0.277492695573792
4,3,0.8,100,T4,0.11240520275332946
4,3,0.8,100,V100,0.23711911796283613
4,3,1.2,50,M60,0.055458641612591945
4,3,1.2,50,K80,0.15915830352858581
4,3,1.2,50,T4,0.07971534891265154
4,3,1.2,50,V100,0.011119719324549575
4,3,1.2,75,M60,0.16196592579663596
4,3,1.2,75,K80,0.12210953902182174
4,3,1.2,75,T4,0.034585091777645495
4,3,1.2,75,V100,0.05459025602776753
4,3,1.2,100,M60,0.19964054190215333
4,3,1.2,100,K80,0.06727136128020972
4,3,1.2,100,T4,0.0379236514172378
4,3,1.2,100,V100,0.24243518338531483
4,3,1.6,50,M60,0.276323672922858
4,3,1.6,50,K80,0.1664739573830999
4,3,1.6,50,T4,0.2049392369142801
4,3,1.6,50,V100,0.1065248915416407
4,3,1.6,75,M60,0.1199278825706532
4,3,1.6,75,K80,0.020379890481329023
4,3,1.6,75,T4,0.027911531402522668
4,3,1.6,75,V100,0.18157099901048634
4,3,1.6,100,M60,0.06021991854770316
4,3,1.6,100,K80,0.10731639666124569
4,3,1.6,100,T4,0.15227656086653882
4,3,1.6,100,V100,0.28856155943667816
4,3,2.4,50,M60,0.07820713354078294
4,3,2.4,50,K80,0.15678203753460426
4,3,2.4,50,T4,0.23735589705151228
4,3,2.4,50,V100,0.07154189069235785
4,3,2.4,75,M60,0.2648260499915668
4,3,2.4,75,K80,0.2483849784532829
4,3,2.4,75,T4,0.10353402656139189
4,3,2.4,75,V100,0.18630967717774216
4,3,2.4,100,M60,0.00620155110614015
4,3,2.4,100,K80,0.2361093089868699
4,3,2.4,100,T4,0.2117112918790978
4,3,2.4,100,V100,0.004165622957209528
4,4,0.8,50,M60,0.004815674684629722
4,4,0.8,50,K80,0.02538567717132973
4,4,0.8,50,T4,0.2693734127225937
4,4,0.8,50,V100,0.2606059430374475
4,4,0.8,75,M60,0.05541997152612031
4,4,0.8,75,K80,0.08478700482253383
4,4,0.8,75,T4,0.16218555957296835
4,4,0.8,75,V100,0.20519237691773368
4,4,0.8,100,M60,0.22273339165628653
4,4,0.8,100,K80,0.20807749053247476
4,4,0.8,100,T4,0.1707793747686136
4,4,0.8,100,V100,0.13247744317254367
4,4,1.2,50,M60,0.12325462899303258
4,4,1.2,50,K80,0.19652680300730743
4,4,1.2,50,T4,0.005085373433905577
4,4,1.2,50,V100,0.22645102887878552
4,4,1.2,75,M60,0.19630642209676466
4,4,1.2,75,K80,0.07775565228369836
4,4,1.2,75,T4,0.2653299037426433
4,4,1.2,75,V100,0.03770891529944303
4,4,1.2,100,M60,0.08451543539687874
4,4,1.2,100,K80,0.12597336660351516
4,4,1.2,100,T4,0.11980724870615128
4,4,1.2,100,V100,0.13205493412761632
4,4,1.6,50,M60,0.22054976050995684
4,4,1.6,50,K80,0.016148548749122454
4,4,1.6,50,T4,0.2531122134489282
4,4,1.6,50,V100,0.16306725402372607
4,4,1.6,75,M60,0.10039665109385193
4,4,1.6,75,K80,0.012259051354385079
4,4,1.6,75,T4,0.1021217356844774
4,4,1.6,75,V100,0.13576078061039665
4,4,1.6,100,M60,0.12196608371325958
4,4,1.6,100,K80,0.019878340830957443
4,4,1.6,100,T4,0.01385242743503482
4,4,1.6,100,V100,0.28750755082230434
4,4,2.4,50,M60,0.056395562503314796
4,4,2.4,50,K80,0.25768323238227997
4,4,2.4,50,T4,0.03450747189497889
4,4,2.4,50,V100,0.191617223380682
4,4,2.4,75,M60,0.1464634733478895
4,4,2.4,75,K80,0.03324543833726972
4,4,2.4,75,T4,0.017563625726216833
4,4,2.4,75,V100,0.056015825281352585
4,4,2.4,100,M60,0.05134452339947163
4,4,2.4,100,K80,0.06863290762054527
4,4,2.4,100,T4,0.19353303328779325
4,4,2.4,100,V100,0.0820670345826019
4,5,0.8,50,M60,0.12306575543248865
4,5,0.8,50,K80,0.23585313194943594
4,5,0.8,50,T4,0.28236612736863775
4,5,0.8,50,V100,0.1546782966097319
4,5,0.8,75,M60,0.20461219056782703
4,5,0.8,75,K80,0.2660076568625462
4,5,0.8,75,T4,0.28771941467502943
4,5,0.8,75,V100,0.018999695855309483
4,5,0.8,100,M60,0.01761963333870564
4,5,0.8,100,K80,0.1168707410512718
4,5,0.8,100,T4,0.14917977672139132
4,5,0.8,100,V100,0.20415032515115433
4,5,1.2,50,M60,0.023111901210771682
4,5,1.2,50,K80,0.17621467445752934
4,5,1.2,50,T4,0.2212917196170611
4,5,1.2,50,V100,0.20068075504231833
4,5,1.2,75,M60,0.27979285718138575
4,5,1.2,75,K80,0.2058033190865011
4,5,1.2,75,T4,0.2862688693156766
4,5,1.2,75,V100,0.06493208345741958
4,5,1.2,100,M60,0.13703939129956924
4,5,1.2,100,K80,0.25945841473992604
4,5,1.2,100,T4,0.27841559821806466
4,5,1.2,100,V100,0.0851418749648007
4,5,1.6,50,M60,0.10036694258997761
4,5,1.6,50,K80,0.15500712676244482
4,5,1.6,50,T4,0.07448708887110456
4,5,1.6,50,V100,0.17784758528260716
4,5,1.6,75,M60,0.2763138702789379
4,5,1.6,75,K80,0.13515041999738103
4,5,1.6,75,T4,0.26555983623620877
4,5,1.6,75,V100,0.11224352412488611
4,5,1.6,100,M60,0.03289770566269009
4,5,1.6,100,K80,0.26940871307164677
4,5,1.6,100,T4,0.15545157330653503
4,5,1.6,100,V100,0.09135865705348453
4,5,2.4,50,M60,0.2861698627313363
4,5,2.4,50,K80,0.02708455848670054
4,5,2.4,50,T4,0.05190210975994523
4,5,2.4,50,V100,0.26655126093040155
4,5,2.4,75,M60,0.03271958886090404
4,5,2.4,75,K80,0.0854164547152645
4,5,2.4,75,T4,0.05487226749309481
4,5,2.4,75,V100,0.2889882808437183
4,5,2.4,100,M60,0.26669571061616454
4,5,2.4,100,K80,0.17808821896792373
