batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.26396759991636554
4,1,0.8,50,K80,0.1826028520194569
4,1,0.8,50,T4,0.2753187137138024
4,1,0.8,50,V100,0.035568313755413784
4,1,0.8,75,M60,0.23314164446678434
4,1,0.8,75,K80,0.02980078120496044
4,1,0.8,75,T4,0.2626368099264346
4,1,0.8,75,V100,0.0127096583755045
4,1,0.8,100,M60,0.22273576968273426
4,1,0.8,100,K80,0.26377673269539526
4,1,0.8,100,T4,0.18977192233996015
4,1,0.8,100,V100,0.16009298381203935
4,1,1.2,50,M60,0.01355507024303094
4,1,1.2,50,K80,0.2674968939959081
4,1,1.2,50,T4,0.2507810756061675
4,1,1.2,50,V100,0.219509055344098
4,1,1.2,75,M60,0.22959303135968942
4,1,1.2,75,K80,0.16573838434105304
4,1,1.2,75,T4,0.20509500702519415
4,1,1.2,75,V100,0.1788470167114898
4,1,1.2,100,M60,0.199305422581523
4,1,1.2,100,K80,0.1540543216235532
4,1,1.2,100,T4,0.23699208562900945
4,1,1.2,100,V100,0.22936123618892534
4,1,1.6,50,M60,0.22271861855654648
4,1,1.6,50,K80,0.13491399905479481
4,1,1.6,50,T4,0.03640149236959186
4,1,1.6,50,V100,0.13703178099427138
4,1,1.6,75,M60,0.086116192047313
4,1,1.6,75,K80,0.12618047417340367
4,1,1.6,75,T4,0.07529225406647201
4,1,1.6,75,V100,0.2560237689352814
4,1,1.6,100,M60,0.02747463612517618
4,1,1.6,100,K80,0.1548965576573212
4,1,1.6,100,T4,0.01293378769903753
4,1,1.6,100,V100,0.26650687377084287
4,1,2.4,50,M60,0.19393771624580972
4,1,2.4,50,K80,0.08681381643317823
4,1,2.4,50,T4,0.13311782040717898
4,1,2.4,50,V100,0.24978860638928188
4,1,2.4,75,M60,0.22452779955689153
4,1,2.4,75,K80,0.24462605332009563
4,1,2.4,75,T4,0.15667833969800246
4,1,2.4,75,V100,0.18510233991485306
4,1,2.4,100,M60,0.23017606269173158
4,1,2.4,100,K80,0.15131971687420728
4,1,2.4,100,T4,0.2713215935971443
4,1,2.4,100,V100,0.15734664801336756
4,2,0.8,50,M60,0.1284424001511135
4,2,0.8,50,K80,0.2812039292127752
