batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.0023637429672231456
4,1,0.8,50,K80,0.2549194024192379
4,1,0.8,50,T4,0.2450097997475045
4,1,0.8,50,V100,0.20826231842635523
4,1,0.8,75,M60,0.15700510148129412
4,1,0.8,75,K80,0.27457427346505997
4,1,0.8,75,T4,0.23632743427835795
4,1,0.8,75,V100,0.10081312530981126
4,1,0.8,100,M60,0.2641411788898841
4,1,0.8,100,K80,0.13776968880643903
4,1,0.8,100,T4,0.09349670226024732
4,1,0.8,100,V100,0.07045753728478117
4,1,1.2,50,M60,0.2824887254685477
4,1,1.2,50,K80,0.24625277551866223
4,1,1.2,50,T4,0.28230797433924654
4,1,1.2,50,V100,0.21199971678229065
4,1,1.2,75,M60,0.12149178161643326
4,1,1.2,75,K80,0.1321361310628777
4,1,1.2,75,T4,0.052630974197327894
4,1,1.2,75,V100,0.11959526140058734
4,1,1.2,100,M60,0.1158302091114835
4,1,1.2,100,K80,0.16436862565685162
4,1,1.2,100,T4,0.11510835275838237
4,1,1.2,100,V100,0.15389034315999728
4,1,1.6,50,M60,0.24437356526996054
4,1,1.6,50,K80,0.12751360215423055
4,1,1.6,50,T4,0.2383175915962601
4,1,1.6,50,V100,0.2273130090955011
4,1,1.6,75,M60,0.12232226426254657
4,1,1.6,75,K80,0.18486296465180177
4,1,1.6,75,T4,0.28881111841526147
4,1,1.6,75,V100,0.2880925588269062
4,1,1.6,100,M60,0.17290763351351415
4,1,1.6,100,K80,0.2234557685468914
4,1,1.6,100,T4,0.06849355051833979
4,1,1.6,100,V100,0.21785050253894284
4,1,2.4,50,M60,0.19012347989346942
4,1,2.4,50,K80,0.21274544492320416
4,1,2.4,50,T4,0.05432933984841906
4,1,2.4,50,V100,0.2895745712752872
4,1,2.4,75,M60,0.056454292872175175
4,1,2.4,75,K80,0.06659374982543974
4,1,2.4,75,T4,0.021620639237248922
4,1,2.4,75,V100,0.11548701355040325
4,1,2.4,100,M60,0.16757175953371528
4,1,2.4,100,K80,0.26128098761953733
4,1,2.4,100,T4,0.1706275475873954
4,1,2.4,100,V100,0.22041218120092812
4,2,0.8,50,M60,0.02932067444810581
4,2,0.8,50,K80,0.08036211234186381
4,2,0.8,50,T4,0.2561287504548246
