batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.14390937638004503
4,1,0.8,50,K80,0.22432510348876133
4,1,0.8,50,T4,0.12296594389060538
4,1,0.8,50,V100,0.20825084593127596
4,1,0.8,75,M60,0.2686050009255845
4,1,0.8,75,K80,0.16607633862286109
4,1,0.8,75,T4,0.20010124214624894
4,1,0.8,75,V100,0.21340664245652233
4,1,0.8,100,M60,0.07122266419162086
4,1,0.8,100,K80,0.1700312035949351
4,1,0.8,100,T4,0.22609296560028772
4,1,0.8,100,V100,0.19244600934390532
4,1,1.2,50,M60,0.06514107449952511
4,1,1.2,50,K80,0.16131730930883176
4,1,1.2,50,T4,0.0594795785396151
4,1,1.2,50,V100,0.1430757824784755
4,1,1.2,75,M60,0.1377287406124127
4,1,1.2,75,K80,0.12222977440916953
4,1,1.2,75,T4,0.23366200327732062
4,1,1.2,75,V100,0.27838325055304614
4,1,1.2,100,M60,0.05265451803882289
4,1,1.2,100,K80,0.1677450879638715
4,1,1.2,100,T4,0.06493182141214388
4,1,1.2,100,V100,0.12700159955395987
4,1,1.6,50,M60,0.18332995812043792
4,1,1.6,50,K80,0.21540380304321793
4,1,1.6,50,T4,0.16880896778317578
4,1,1.6,50,V100,0.13963568342406002
4,1,1.6,75,M60,0.03553982658353257
4,1,1.6,75,K80,0.12208775055964141
4,1,1.6,75,T4,0.0014332524383256161
4,1,1.6,75,V100,0.2552079266835108
4,1,1.6,100,M60,0.14425551445923523
4,1,1.6,100,K80,0.2526301509500521
4,1,1.6,100,T4,0.13103803096023395
4,1,1.6,100,V100,0.2670954917033546
4,1,2.4,50,M60,0.13919406724615202
4,1,2.4,50,K80,0.12965157287889376
4,1,2.4,50,T4,0.2778355070170054
4,1,2.4,50,V100,0.11490550563790419
4,1,2.4,75,M60,0.20557344903523286
4,1,2.4,75,K80,0.03773177940856349
4,1,2.4,75,T4,0.17334940605508908
4,1,2.4,75,V100,0.13287998799627293
4,1,2.4,100,M60,0.1025880393511785
4,1,2.4,100,K80,0.19606074352535002
4,1,2.4,100,T4,0.16036625958334683
4,1,2.4,100,V100,0.2560758232193359
4,2,0.8,50,M60,0.10904819392128487
4,2,0.8,50,K80,0.24797528900346197
4,2,0.8,50,T4,0.006529527536164634
4,2,0.8,50,V100,0.11360462427559993
4,2,0.8,75,M60,0.11555797042948798
4,2,0.8,75,K80,0.16121158777049716
4,2,0.8,75,T4,0.15902615524633656
4,2,0.8,75,V100,0.1515342789371961
4,2,0.8,100,M60,0.18432013102137823
4,2,0.8,100,K80,0.27472740248044686
4,2,0.8,100,T4,0.13383589632290485
4,2,0.8,100,V100,0.20400280425674613
4,2,1.2,50,M60,0.05963263801740318
4,2,1.2,50,K80,0.21584894891943163
4,2,1.2,50,T4,0.23861439953011368
4,2,1.2,50,V100,0.205246192730717
4,2,1.2,75,M60,0.26944373855059867
4,2,1.2,75,K80,0.21461596818752368
4,2,1.2,75,T4,0.021308342550990476
4,2,1.2,75,V100,0.2846455133288647
4,2,1.2,100,M60,0.030263512280254354
4,2,1.2,100,K80,0.17261578828704452
4,2,1.2,100,T4,0.01977350129698366
4,2,1.2,100,V100,0.09995197380843661
4,2,1.6,50,M60,0.027612027978200865
4,2,1.6,50,K80,0.10214972456944996
4,2,1.6,50,T4,0.09982194037757634
4,2,1.6,50,V100,0.019949287677546466
4,2,1.6,75,M60,0.12367471342802766
4,2,1.6,75,K80,0.17151850621142073
4,2,1.6,75,T4,0.08876250328659203
4,2,1.6,75,V100,0.268813746735931
4,2,1.6,100,M60,0.14131491724910036
4,2,1.6,100,K80,0.17917889227204242
4,2,1.6,100,T4,0.1329750930991513
4,2,1.6,100,V100,0.24534768331520745
4,2,2.4,50,M60,0.11222028231261776
4,2,2.4,50,K80,0.2620927574645871
4,2,2.4,50,T4,0.25093617998399814
4,2,2.4,50,V100,0.24456324530690216
4,2,2.4,75,M60,0.12594815210192642
4,2,2.4,75,K80,0.2837457514809055
4,2,2.4,75,T4,0.24979317914416807
4,2,2.4,75,V100,0.15819650915448444
4,2,2.4,100,M60,0.2740440473329441
4,2,2.4,100,K80,0.19379469643582253
4,2,2.4,100,T4,0.09350770390137249
4,2,2.4,100,V100,0.12591378896145042
4,3,0.8,50,M60,0.033407714819017297
4,3,0.8,50,K80,0.1007196861612756
4,3,0.8,50,T4,0.2831105388554778
4,3,0.8,50,V100,0.2312116035756224
4,3,0.8,75,M60,0.015130000974729127
4,3,0.8,75,K80,0.21285577241861456
4,3,0.8,75,T4,0.21053135195074468
4,3,0.8,75,V100,0.12050914309549592
4,3,0.8,100,M60,0.04556684623318912
4,3,0.8,100,K80,0.06306786645255003
4,3,0.8,100,T4,0.24422033139823135
4,3,0.8,100,V100,0.2536794659075643
4,3,1.2,50,M60,0.031015554286219
4,3,1.2,50,K80,0.1870640798189471
4,3,1.2,50,T4,0.059063591346973816
4,3,1.2,50,V100,0.05550563560137029
4,3,1.2,75,M60,0.060608737128645764
4,3,1.2,75,K80,0.11201107032780491
4,3,1.2,75,T4,0.09211919770809307
4,3,1.2,75,V100,0.18802267968277023
4,3,1.2,100,M60,0.2559564572915589
4,3,1.2,100,K80,0.17342015191105248
4,3,1.2,100,T4,0.09986111921157824
4,3,1.2,100,V100,0.26491498431733657
4,3,1.6,50,M60,0.020940548398786663
4,3,1.6,50,K80,0.12776694762768911
4,3,1.6,50,T4,0.19749377717132294
4,3,1.6,50,V100,0.04163052471362888
4,3,1.6,75,M60,0.11737445736437888
4,3,1.6,75,K80,0.06712111245396897
4,3,1.6,75,T4,0.17755472300827274
4,3,1.6,75,V100,0.21570622260075378
4,3,1.6,100,M60,0.25694653569680104
4,3,1.6,100,K80,0.14373477212075436
4,3,1.6,100,T4,0.056866355716273985
4,3,1.6,100,V100,0.005280929086137369
4,3,2.4,50,M60,0.14054719293145515
4,3,2.4,50,K80,0.23152367189716888
4,3,2.4,50,T4,0.13885441463547868
4,3,2.4,50,V100,0.2502165849538316
4,3,2.4,75,M60,0.16885972460563728
4,3,2.4,75,K80,0.015499036520807277
4,3,2.4,75,T4,0.27718828249241934
4,3,2.4,75,V100,0.07727603607228803
4,3,2.4,100,M60,0.19679212230542353
4,3,2.4,100,K80,0.25864441071487715
4,3,2.4,100,T4,0.035204868877422864
4,3,2.4,100,V100,0.04097537110130165
4,4,0.8,50,M60,0.18147018344393637
4,4,0.8,50,K80,0.18019986522919965
4,4,0.8,50,T4,0.0036566907440581096
4,4,0.8,50,V100,0.16940124810077653
4,4,0.8,75,M60,0.0582440959497357
4,4,0.8,75,K80,0.08172510985951457
4,4,0.8,75,T4,0.08871412826187178
4,4,0.8,75,V100,0.08281830516479627
4,4,0.8,100,M60,0.09587668149372518
4,4,0.8,100,K80,0.10216537432590445
4,4,0.8,100,T4,0.06065478857652686
4,4,0.8,100,V100,0.018345634750026357
4,4,1.2,50,M60,0.16337810212790457
4,4,1.2,50,K80,0.2499281689541306
4,4,1.2,50,T4,0.05840562617098192
4,4,1.2,50,V100,0.056451325595391684
4,4,1.2,75,M60,0.15286457140369455
4,4,1.2,75,K80,0.13581441801754618
4,4,1.2,75,T4,0.12083695568848118
4,4,1.2,75,V100,0.1713196558057164
4,4,1.2,100,M60,0.20740197212483436
4,4,1.2,100,K80,0.057949076063626176
4,4,1.2,100,T4,0.25122853829294356
4,4,1.2,100,V100,0.07934363557925549
4,4,1.6,50,M60,0.20020232708286598
4,4,1.6,50,K80,0.177119608016544
