batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.1471627902994817
4,1,0.8,50,K80,0.13590920209157062
4,1,0.8,50,T4,0.2685807299399605
4,1,0.8,50,V100,0.12059259587035827
4,1,0.8,75,M60,0.2730988775241588
4,1,0.8,75,K80,0.24865459955357688
4,1,0.8,75,T4,0.23775601285651857
4,1,0.8,75,V100,0.28392859031077144
4,1,0.8,100,M60,0.16557107756701578
4,1,0.8,100,K80,0.1313118904326178
4,1,0.8,100,T4,0.07957945735617843
4,1,0.8,100,V100,0.06529466084212651
4,1,1.2,50,M60,0.11251433929741488
4,1,1.2,50,K80,0.22568993306197502
4,1,1.2,50,T4,0.21885350262907954
4,1,1.2,50,V100,0.06396981817909492
4,1,1.2,75,M60,0.1660136349035668
4,1,1.2,75,K80,0.18752714758548952
4,1,1.2,75,T4,0.285677142882075
4,1,1.2,75,V100,0.014173379295060134
4,1,1.2,100,M60,0.13291355561206988
4,1,1.2,100,K80,0.1766430665842858
4,1,1.2,100,T4,0.05096889357952718
4,1,1.2,100,V100,0.07152430326750892
4,1,1.6,50,M60,0.1097216668938847
4,1,1.6,50,K80,0.1818734040816736
4,1,1.6,50,T4,0.2776904222598364
4,1,1.6,50,V100,0.20329358091571184
4,1,1.6,75,M60,0.2133270394007048
4,1,1.6,75,K80,0.13807532358760402
4,1,1.6,75,T4,0.10000889778980884
4,1,1.6,75,V100,0.16933049455618615
4,1,1.6,100,M60,0.10748807834063068
4,1,1.6,100,K80,0.15781690160495998
4,1,1.6,100,T4,0.07844997983887259
4,1,1.6,100,V100,0.17155260259965524
4,1,2.4,50,M60,0.2822199422219973
4,1,2.4,50,K80,0.1128839525241906
4,1,2.4,50,T4,0.0032211539349639947
4,1,2.4,50,V100,0.18193112564830172
4,1,2.4,75,M60,0.1314594012369851
4,1,2.4,75,K80,0.11541996391746553
4,1,2.4,75,T4,0.16775923072642035
4,1,2.4,75,V100,0.28174677770781037
4,1,2.4,100,M60,0.22130799475977364
4,1,2.4,100,K80,0.09111740101364134
4,1,2.4,100,T4,0.02547784206154103
4,1,2.4,100,V100,0.2516059627841372
4,2,0.8,50,M60,0.08092303430551946
4,2,0.8,50,K80,0.03579945455013261
4,2,0.8,50,T4,0.22996399988214666
4,2,0.8,50,V100,0.21390443145269708
4,2,0.8,75,M60,0.02440561978282512
4,2,0.8,75,K80,0.1474818335404579
4,2,0.8,75,T4,0.16553443818407626
4,2,0.8,75,V100,0.08873164032480221
