batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.12396574661565539
4,1,0.8,50,K80,0.03987850217707711
4,1,0.8,50,T4,0.0658284013016779
4,1,0.8,50,V100,0.0649718417724386
4,1,0.8,75,M60,0.2604007580342414
4,1,0.8,75,K80,0.005345705230437192
4,1,0.8,75,T4,0.2083861796279321
4,1,0.8,75,V100,0.23607193559113993
4,1,0.8,100,M60,0.1288018787301699
4,1,0.8,100,K80,0.26102197137918254
4,1,0.8,100,T4,0.13401984002928835
4,1,0.8,100,V100,0.04527299963503611
4,1,1.2,50,M60,0.23602384975725907
4,1,1.2,50,K80,0.17281727959369048
4,1,1.2,50,T4,0.15796112469995752
4,1,1.2,50,V100,0.11486161892473731
4,1,1.2,75,M60,0.040287611207098784
4,1,1.2,75,K80,0.011667465867025247
4,1,1.2,75,T4,0.27325646784233515
4,1,1.2,75,V100,0.1717368107600702
4,1,1.2,100,M60,0.07929103760384504
4,1,1.2,100,K80,0.16760239510182123
4,1,1.2,100,T4,0.24949432628522714
4,1,1.2,100,V100,0.028571279193275307
4,1,1.6,50,M60,0.16027232113174747
4,1,1.6,50,K80,0.2693001868965031
4,1,1.6,50,T4,0.040262543184449565
4,1,1.6,50,V100,0.17546364406198475
4,1,1.6,75,M60,0.07206394834087188
4,1,1.6,75,K80,0.09547665432369536
4,1,1.6,75,T4,0.20728626380908305
4,1,1.6,75,V100,0.18172676641818297
4,1,1.6,100,M60,0.2117875689920879
4,1,1.6,100,K80,0.05582514785149193
4,1,1.6,100,T4,0.14850257906300823
4,1,1.6,100,V100,0.044254670945172554
4,1,2.4,50,M60,0.02074935497348902
4,1,2.4,50,K80,0.20073412346806577
4,1,2.4,50,T4,0.05931070182133498
4,1,2.4,50,V100,0.059319565231652896
4,1,2.4,75,M60,0.1490607666452616
4,1,2.4,75,K80,0.2758025848532384
4,1,2.4,75,T4,0.14674010441972968
4,1,2.4,75,V100,0.24795934585474413
4,1,2.4,100,M60,0.18223190979172812
4,1,2.4,100,K80,0.06603060635420722
4,1,2.4,100,T4,0.1632529018471486
4,1,2.4,100,V100,0.0802746949978833
4,2,0.8,50,M60,0.028797598406615308
4,2,0.8,50,K80,0.02838399115634037
4,2,0.8,50,T4,0.28667781473294734
4,2,0.8,50,V100,0.1909438333289858
4,2,0.8,75,M60,0.049702208597560665
4,2,0.8,75,K80,0.22525046127585022
4,2,0.8,75,T4,0.21863136112155257
4,2,0.8,75,V100,0.2188937064250683
4,2,0.8,100,M60,0.10089467814008858
4,2,0.8,100,K80,0.23473501682219153
4,2,0.8,100,T4,0.010927961509692255
4,2,0.8,100,V100,0.05625477097669628
4,2,1.2,50,M60,0.24565051592315354
4,2,1.2,50,K80,0.1682834125282974
4,2,1.2,50,T4,0.24211258219097806
4,2,1.2,50,V100,0.21136575299193547
4,2,1.2,75,M60,0.10597603416658231
4,2,1.2,75,K80,0.2224550929842104
4,2,1.2,75,T4,0.13049910620336158
4,2,1.2,75,V100,0.19900111333878043
4,2,1.2,100,M60,0.002318918469919442
4,2,1.2,100,K80,0.25535646691975555
4,2,1.2,100,T4,0.0578803854821869
4,2,1.2,100,V100,0.24592179905676595
4,2,1.6,50,M60,0.08754575363320673
4,2,1.6,50,K80,0.22089843094995606
4,2,1.6,50,T4,0.13826690236706082
4,2,1.6,50,V100,0.1628196323685776
4,2,1.6,75,M60,0.21773663303616556
4,2,1.6,75,K80,0.23642339891456388
4,2,1.6,75,T4,0.07617205634546358
4,2,1.6,75,V100,0.07520565057817297
4,2,1.6,100,M60,0.11187573985937392
4,2,1.6,100,K80,0.07418311925189432
4,2,1.6,100,T4,0.06645253223698022
4,2,1.6,100,V100,0.052406848778575515
4,2,2.4,50,M60,0.127429247377969
4,2,2.4,50,K80,0.1498980309161135
4,2,2.4,50,T4,0.08511674210032338
4,2,2.4,50,V100,0.13875781526493214
4,2,2.4,75,M60,0.09140048343452326
4,2,2.4,75,K80,0.25530157669092746
4,2,2.4,75,T4,0.2318344460850952
4,2,2.4,75,V100,0.2609200971339679
4,2,2.4,100,M60,0.033609995459844465
4,2,2.4,100,K80,0.03405949654072858
4,2,2.4,100,T4,0.06168046441982488
4,2,2.4,100,V100,0.22114796481908425
4,3,0.8,50,M60,0.17277216151567615
4,3,0.8,50,K80,0.27388475782523
4,3,0.8,50,T4,0.18553525373791827
4,3,0.8,50,V100,0.21372574389106744
4,3,0.8,75,M60,0.02693771002698819
4,3,0.8,75,K80,0.04285225661855064
4,3,0.8,75,T4,0.21413541092543895
4,3,0.8,75,V100,0.2524792925860698
4,3,0.8,100,M60,0.016710656732446094
4,3,0.8,100,K80,0.262917092545052
4,3,0.8,100,T4,0.18730937438728595
4,3,0.8,100,V100,0.15701816805946012
4,3,1.2,50,M60,0.14789044740572124
4,3,1.2,50,K80,0.26257366800907667
4,3,1.2,50,T4,0.1261813946863298
4,3,1.2,50,V100,0.14110428121402446
4,3,1.2,75,M60,0.22288981392553142
4,3,1.2,75,K80,0.26546270794587995
4,3,1.2,75,T4,0.06136338764017612
4,3,1.2,75,V100,0.12041651951534178
