batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.10324635855874144
4,1,0.8,50,K80,0.028684452717153447
4,1,0.8,50,T4,0.22262677404238673
4,1,0.8,50,V100,0.08220661282784907
4,1,0.8,75,M60,0.21533853700838065
4,1,0.8,75,K80,0.019925918403024354
4,1,0.8,75,T4,0.2877844836400273
4,1,0.8,75,V100,0.04900969160550711
4,1,0.8,100,M60,0.0018801203341025972
4,1,0.8,100,K80,0.07918031350217876
4,1,0.8,100,T4,0.03587064102908025
4,1,0.8,100,V100,0.03990129308322743
4,1,1.2,50,M60,0.011045752740478424
4,1,1.2,50,K80,0.24485957764009855
4,1,1.2,50,T4,0.24128309399077236
4,1,1.2,50,V100,0.16456548488495878
4,1,1.2,75,M60,0.05069519218079733
4,1,1.2,75,K80,0.08999013183353485
4,1,1.2,75,T4,0.26150565431245837
4,1,1.2,75,V100,0.09017915144371569
4,1,1.2,100,M60,0.05621452947485791
4,1,1.2,100,K80,0.09859128225627614
4,1,1.2,100,T4,0.24623573013398964
4,1,1.2,100,V100,0.1946826560361301
4,1,1.6,50,M60,0.08251612790373597
4,1,1.6,50,K80,0.22245868023130005
4,1,1.6,50,T4,0.18678588593381718
4,1,1.6,50,V100,0.26170610484930223
4,1,1.6,75,M60,0.2498174212162992
4,1,1.6,75,K80,0.11258858795271215
4,1,1.6,75,T4,0.2699811351592638
4,1,1.6,75,V100,0.1942401017982919
4,1,1.6,100,M60,0.2867125914700012
4,1,1.6,100,K80,0.2131247960699079
4,1,1.6,100,T4,0.2680930984377316
4,1,1.6,100,V100,0.02641016875908392
4,1,2.4,50,M60,0.013331514244910343
4,1,2.4,50,K80,0.1117856709303141
4,1,2.4,50,T4,0.07571642620034656
4,1,2.4,50,V100,0.04282900501384636
4,1,2.4,75,M60,0.16450153151138439
4,1,2.4,75,K80,0.2534378337519351
4,1,2.4,75,T4,0.23431023026525477
4,1,2.4,75,V100,0.27168366680180267
4,1,2.4,100,M60,0.2609597992461502
4,1,2.4,100,K80,0.0015153278374130817
4,1,2.4,100,T4,0.11948615073482227
4,1,2.4,100,V100,0.09098079997012688
4,2,0.8,50,M60,0.18881797906212816
4,2,0.8,50,K80,0.052588996400983516
4,2,0.8,50,T4,0.2723704000509415
4,2,0.8,50,V100,0.036781901977144704
4,2,0.8,75,M60,0.17876143754164456
4,2,0.8,75,K80,0.2504211508130097
4,2,0.8,75,T4,0.16303228323733324
4,2,0.8,75,V100,0.0933262694037535
4,2,0.8,100,M60,0.07668665106875125
4,2,0.8,100,K80,0.13336411166415726
