batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.2665523804837896
4,1,0.8,50,K80,0.2246318764263877
4,1,0.8,50,T4,0.15676021473354562
4,1,0.8,50,V100,0.15868137631368193
4,1,0.8,75,M60,0.01380870552982509
4,1,0.8,75,K80,0.2279994512582936
4,1,0.8,75,T4,0.011374097135518542
4,1,0.8,75,V100,0.24445047933000227
4,1,0.8,100,M60,0.09001786628867169
4,1,0.8,100,K80,0.028312584789753813
4,1,0.8,100,T4,0.28477610806973486
4,1,0.8,100,V100,0.017951093796743013
4,1,1.2,50,M60,0.25955866699238594
4,1,1.2,50,K80,0.21372886752513653
4,1,1.2,50,T4,0.12330135609441605
4,1,1.2,50,V100,0.13795245386040456
4,1,1.2,75,M60,0.21234061368561355
4,1,1.2,75,K80,0.10977618965389835
4,1,1.2,75,T4,0.05558220512609124
4,1,1.2,75,V100,0.22870082168490835
4,1,1.2,100,M60,0.11728906127328943
4,1,1.2,100,K80,0.1840243764653765
4,1,1.2,100,T4,0.0006874859682827028
4,1,1.2,100,V100,0.049379168595669536
4,1,1.6,50,M60,0.22856981001413618
4,1,1.6,50,K80,0.20681580170822297
4,1,1.6,50,T4,0.015755071439043537
4,1,1.6,50,V100,0.05013007877697548
4,1,1.6,75,M60,0.1965455722523086
4,1,1.6,75,K80,0.16874135665238504
4,1,1.6,75,T4,0.16237421087090942
4,1,1.6,75,V100,0.030558743755567944
4,1,1.6,100,M60,0.19890667292321773
4,1,1.6,100,K80,0.09262420526111313
4,1,1.6,100,T4,0.12398268282906356
4,1,1.6,100,V100,0.2533360952494011
4,1,2.4,50,M60,0.2525656761957762
4,1,2.4,50,K80,0.13709738867749582
4,1,2.4,50,T4,0.10772102529735393
4,1,2.4,50,V100,0.28467496183588875
4,1,2.4,75,M60,0.271108786301404
4,1,2.4,75,K80,0.24142830554556693
4,1,2.4,75,T4,0.021903277837346982
4,1,2.4,75,V100,0.16260852257342215
4,1,2.4,100,M60,0.244397326366913
4,1,2.4,100,K80,0.08631752290997387
4,1,2.4,100,T4,0.202498222628937
4,1,2.4,100,V100,0.19464031345086288
4,2,0.8,50,M60,0.17640107840108693
4,2,0.8,50,K80,0.2628852093643285
4,2,0.8,50,T4,0.2767168272422089
4,2,0.8,50,V100,0.03166370958841398
