batchsize,cpus,gpumem,gpupower,gputype,norm.(rps/budget)
4,1,0.8,50,M60,0.14528281856948422
4,1,0.8,50,K80,0.15649412551098293
4,1,0.8,50,T4,0.04221705603848601
4,1,0.8,50,V100,0.16657317207388483
4,1,0.8,75,M60,0.07709800167909688
4,1,0.8,75,K80,0.038686456040991135
4,1,0.8,75,T4,0.11248860206982375
4,1,0.8,75,V100,0.25401183176420383
4,1,0.8,100,M60,0.2565944452740456
4,1,0.8,100,K80,0.18754575746979896
4,1,0.8,100,T4,0.1809537989236506
4,1,0.8,100,V100,0.012662065839741346
4,1,1.2,50,M60,0.23373802461417653
4,1,1.2,50,K80,0.011140011324142461
4,1,1.2,50,T4,0.06147914102515678
4,1,1.2,50,V100,0.026952811865830456
4,1,1.2,75,M60,0.12094334722793955
4,1,1.2,75,K80,0.18137288171842955
4,1,1.2,75,T4,0.28000026660953614
4,1,1.2,75,V100,0.030509819174106743
4,1,1.2,100,M60,0.060403129852162236
4,1,1.2,100,K80,0.2742832401298903
4,1,1.2,100,T4,0.203637518743846
4,1,1.2,100,V100,0.2793072298438292
4,1,1.6,50,M60,0.1534009877127791
4,1,1.6,50,K80,0.08776014183499471
4,1,1.6,50,T4,0.08796852733148343
4,1,1.6,50,V100,0.07648646427115417
4,1,1.6,75,M60,0.19820302676214513
4,1,1.6,75,K80,0.12909129634215186
4,1,1.6,75,T4,0.0755871606423732
4,1,1.6,75,V100,0.04063394750022645
4,1,1.6,100,M60,0.16473036601508517
4,1,1.6,100,K80,0.14870739820616805
4,1,1.6,100,T4,0.18110319733757593
4,1,1.6,100,V100,0.01297689096817413
4,1,2.4,50,M60,0.27997199010297563
4,1,2.4,50,K80,0.2176462267523689
4,1,2.4,50,T4,0.15645597523207452
4,1,2.4,50,V100,0.0652730072761859
4,1,2.4,75,M60,0.2480450486984974
4,1,2.4,75,K80,0.1445916998336498
4,1,2.4,75,T4,0.25432226526422996
4,1,2.4,75,V100,0.13493362485293714
4,1,2.4,100,M60,0.16572227720998933
4,1,2.4,100,K80,0.22509055930827945
4,1,2.4,100,T4,0.06796206421029223
4,1,2.4,100,V100,0.1690752087870324
4,2,0.8,50,M60,0.2554135946908968
4,2,0.8,50,K80,0.0894269875237436
4,2,0.8,50,T4,0.16196481075207136
4,2,0.8,50,V100,0.1280933622049515
4,2,0.8,75,M60,0.25018619280669346
4,2,0.8,75,K80,0.05637706129966527
4,2,0.8,75,T4,0.11084722065348152
4,2,0.8,75,V100,0.23789199973930536
4,2,0.8,100,M60,0.17227516762722878
4,2,0.8,100,K80,0.19135561507652868
4,2,0.8,100,T4,0.2272403096004
4,2,0.8,100,V100,0.12906001004782058
4,2,1.2,50,M60,0.2114480976377367
4,2,1.2,50,K80,0.23602522888977132
4,2,1.2,50,T4,0.2280381801007095
4,2,1.2,50,V100,0.11826571767694827
4,2,1.2,75,M60,0.03018929223509556
4,2,1.2,75,K80,0.031262448988916045
4,2,1.2,75,T4,0.06423804140570272
4,2,1.2,75,V100,0.0038304479830366077
4,2,1.2,100,M60,0.08647935963379219
4,2,1.2,100,K80,0.01590692482933297
4,2,1.2,100,T4,0.15475733410193104
4,2,1.2,100,V100,0.04584056445721524
4,2,1.6,50,M60,0.2539219539744658
4,2,1.6,50,K80,0.07602383552510852
4,2,1.6,50,T4,0.02860982445349449
4,2,1.6,50,V100,0.026563052144388755
4,2,1.6,75,M60,0.019836996960672867
4,2,1.6,75,K80,0.13169658922787575
4,2,1.6,75,T4,0.16335521970706215
4,2,1.6,75,V100,0.0851077465758887
4,2,1.6,100,M60,0.2719838291785507
4,2,1.6,100,K80,0.08039497531232113
4,2,1.6,100,T4,0.25084344363701017
4,2,1.6,100,V100,0.1369931966756099
4,2,2.4,50,M60,0.28953425107185427
4,2,2.4,50,K80,0.26298131713195594
4,2,2.4,50,T4,0.2234548949105315
4,2,2.4,50,V100,0.23400455116959262
4,2,2.4,75,M60,0.12886266982364503
4,2,2.4,75,K80,0.2729534025654579
4,2,2.4,75,T4,0.008889739634728678
4,2,2.4,75,V100,0.026261318250604657
4,2,2.4,100,M60,0.18194217050243
4,2,2.4,100,K80,0.22225315839449997
4,2,2.4,100,T4,0.184204184864951
4,2,2.4,100,V100,0.2497795194091024
4,3,0.8,50,M60,0.20408653178632066
4,3,0.8,50,K80,0.01975186533503535
4,3,0.8,50,T4,0.12810309383367022
4,3,0.8,50,V100,0.023319893805878237
4,3,0.8,75,M60,0.0037136091016696637
4,3,0.8,75,K80,0.11128701312020985
4,3,0.8,75,T4,0.17561946610745535
4,3,0.8,75,V100,0.19723035068766326
4,3,0.8,100,M60,0.2815997197661558
4,3,0.8,100,K80,0.04084562549501951
4,3,0.8,100,T4,0.004358836979113916
4,3,0.8,100,V100,0.19556587071120693
4,3,1.2,50,M60,0.22730039229349025
